district,taluk,season,index,mean,median,std,min,max
"Chennai","Chennai North / West","peak_dry_summer","ndbi",0.1551,0.1398,0.1805,-0.2816,0.5675
"Chennai","Chennai South / East","peak_dry_summer","ndbi",0.1405,0.1398,0.1805,-0.2816,0.5675
"Kanchipuram","Kanchipuram North / West","peak_dry_summer","ndbi",0.1126,0.1398,0.1805,-0.2816,0.5675
"Kanchipuram","Kanchipuram South / East","peak_dry_summer","ndbi",0.1232,0.1398,0.1805,-0.2816,0.5675
"Chengalpattu","Chengalpattu North / West","peak_dry_summer","ndbi",0.1072,0.1398,0.1805,-0.2816,0.5675
"Chengalpattu","Chengalpattu South / East","peak_dry_summer","ndbi",0.1638,0.1398,0.1805,-0.2816,0.5675
"Thiruvallur","Thiruvallur North / West","peak_dry_summer","ndbi",0.1467,0.1398,0.1805,-0.2816,0.5675
"Thiruvallur","Thiruvallur South / East","peak_dry_summer","ndbi",0.1836,0.1398,0.1805,-0.2816,0.5675
"Vellore","Vellore North / West","peak_dry_summer","ndbi",0.1194,0.1398,0.1805,-0.2816,0.5675
"Vellore","Vellore South / East","peak_dry_summer","ndbi",0.1696,0.1398,0.1805,-0.2816,0.5675
"Ranipet","Ranipet North / West","peak_dry_summer","ndbi",0.1404,0.1398,0.1805,-0.2816,0.5675
"Ranipet","Ranipet South / East","peak_dry_summer","ndbi",0.1741,0.1398,0.1805,-0.2816,0.5675
"Tirupathur","Tirupathur North / West","peak_dry_summer","ndbi",0.1129,0.1398,0.1805,-0.2816,0.5675
"Tirupathur","Tirupathur South / East","peak_dry_summer","ndbi",0.1785,0.1398,0.1805,-0.2816,0.5675
"Tiruvannamalai","Tiruvannamalai North / West","peak_dry_summer","ndbi",0.1798,0.1398,0.1805,-0.2816,0.5675
"Tiruvannamalai","Tiruvannamalai South / East","peak_dry_summer","ndbi",0.1241,0.1398,0.1805,-0.2816,0.5675
"Cuddalore","Cuddalore North / West","peak_dry_summer","ndbi",0.1204,0.1398,0.1805,-0.2816,0.5675
"Cuddalore","Cuddalore South / East","peak_dry_summer","ndbi",0.1231,0.1398,0.1805,-0.2816,0.5675
"Villupuram","Villupuram North / West","peak_dry_summer","ndbi",0.1423,0.1398,0.1805,-0.2816,0.5675
"Villupuram","Villupuram South / East","peak_dry_summer","ndbi",0.1290,0.1398,0.1805,-0.2816,0.5675
"Kallakurichi","Kallakurichi North / West","peak_dry_summer","ndbi",0.1630,0.1398,0.1805,-0.2816,0.5675
"Kallakurichi","Kallakurichi South / East","peak_dry_summer","ndbi",0.1046,0.1398,0.1805,-0.2816,0.5675
"Salem","Salem North / West","peak_dry_summer","ndbi",0.1465,0.1398,0.1805,-0.2816,0.5675
"Salem","Salem South / East","peak_dry_summer","ndbi",0.1470,0.1398,0.1805,-0.2816,0.5675
"Namakkal","Namakkal North / West","peak_dry_summer","ndbi",0.1589,0.1398,0.1805,-0.2816,0.5675
"Namakkal","Namakkal South / East","peak_dry_summer","ndbi",0.1079,0.1398,0.1805,-0.2816,0.5675
"Dharmapuri","Dharmapuri North / West","peak_dry_summer","ndbi",0.1465,0.1398,0.1805,-0.2816,0.5675
"Dharmapuri","Dharmapuri South / East","peak_dry_summer","ndbi",0.1664,0.1398,0.1805,-0.2816,0.5675
"Krishnagiri","Krishnagiri North / West","peak_dry_summer","ndbi",0.1239,0.1398,0.1805,-0.2816,0.5675
"Krishnagiri","Krishnagiri South / East","peak_dry_summer","ndbi",0.1445,0.1398,0.1805,-0.2816,0.5675
"Erode","Erode North / West","peak_dry_summer","ndbi",0.1571,0.1398,0.1805,-0.2816,0.5675
"Erode","Erode South / East","peak_dry_summer","ndbi",0.1205,0.1398,0.1805,-0.2816,0.5675
"Tiruppur","Tiruppur North / West","peak_dry_summer","ndbi",0.1566,0.1398,0.1805,-0.2816,0.5675
"Tiruppur","Tiruppur South / East","peak_dry_summer","ndbi",0.1583,0.1398,0.1805,-0.2816,0.5675
"Coimbatore","Coimbatore North / West","peak_dry_summer","ndbi",0.1152,0.1398,0.1805,-0.2816,0.5675
