district,season,index,mean,median,std,min,max
"Chennai","post_monsoon_greenery","ndbi",-0.4895,-0.4644,0.1438,-0.7605,-0.0807
"Kanchipuram","post_monsoon_greenery","ndbi",-0.4583,-0.4644,0.1438,-0.7605,-0.0807
"Chengalpattu","post_monsoon_greenery","ndbi",-0.4548,-0.4644,0.1438,-0.7605,-0.0807
"Thiruvallur","post_monsoon_greenery","ndbi",-0.4658,-0.4644,0.1438,-0.7605,-0.0807
"Vellore","post_monsoon_greenery","ndbi",-0.4375,-0.4644,0.1438,-0.7605,-0.0807
"Ranipet","post_monsoon_greenery","ndbi",-0.4719,-0.4644,0.1438,-0.7605,-0.0807
"Tirupathur","post_monsoon_greenery","ndbi",-0.4876,-0.4644,0.1438,-0.7605,-0.0807
"Tiruvannamalai","post_monsoon_greenery","ndbi",-0.4513,-0.4644,0.1438,-0.7605,-0.0807
"Cuddalore","post_monsoon_greenery","ndbi",-0.4553,-0.4644,0.1438,-0.7605,-0.0807
"Villupuram","post_monsoon_greenery","ndbi",-0.4323,-0.4644,0.1438,-0.7605,-0.0807
"Kallakurichi","post_monsoon_greenery","ndbi",-0.4777,-0.4644,0.1438,-0.7605,-0.0807
"Salem","post_monsoon_greenery","ndbi",-0.4679,-0.4644,0.1438,-0.7605,-0.0807
"Namakkal","post_monsoon_greenery","ndbi",-0.4640,-0.4644,0.1438,-0.7605,-0.0807
"Dharmapuri","post_monsoon_greenery","ndbi",-0.4399,-0.4644,0.1438,-0.7605,-0.0807
"Krishnagiri","post_monsoon_greenery","ndbi",-0.4668,-0.4644,0.1438,-0.7605,-0.0807
"Erode","post_monsoon_greenery","ndbi",-0.4453,-0.4644,0.1438,-0.7605,-0.0807
"Tiruppur","post_monsoon_greenery","ndbi",-0.4822,-0.4644,0.1438,-0.7605,-0.0807
"Coimbatore","post_monsoon_greenery","ndbi",-0.4670,-0.4644,0.1438,-0.7605,-0.0807
"The Nilgiris","post_monsoon_greenery","ndbi",-0.4823,-0.4644,0.1438,-0.7605,-0.0807
"Thanjavur","post_monsoon_greenery","ndbi",-0.4346,-0.4644,0.1438,-0.7605,-0.0807
"Tiruvarur","post_monsoon_greenery","ndbi",-0.4810,-0.4644,0.1438,-0.7605,-0.0807
"Nagapattinam","post_monsoon_greenery","ndbi",-0.4665,-0.4644,0.1438,-0.7605,-0.0807
"Mayiladuthurai","post_monsoon_greenery","ndbi",-0.4867,-0.4644,0.1438,-0.7605,-0.0807
"Tiruchirappalli","post_monsoon_greenery","ndbi",-0.4363,-0.4644,0.1438,-0.7605,-0.0807
"Perambalur","post_monsoon_greenery","ndbi",-0.4542,-0.4644,0.1438,-0.7605,-0.0807
"Ariyalur","post_monsoon_greenery","ndbi",-0.4339,-0.4644,0.1438,-0.7605,-0.0807
"Pudukkottai","post_monsoon_greenery","ndbi",-0.4891,-0.4644,0.1438,-0.7605,-0.0807
"Karur","post_monsoon_greenery","ndbi",-0.4811,-0.4644,0.1438,-0.7605,-0.0807
"Madurai","post_monsoon_greenery","ndbi",-0.4688,-0.4644,0.1438,-0.7605,-0.0807
"Theni","post_monsoon_greenery","ndbi",-0.4543,-0.4644,0.1438,-0.7605,-0.0807
"Dindigul","post_monsoon_greenery","ndbi",-0.4719,-0.4644,0.1438,-0.7605,-0.0807
"Ramanathapuram","post_monsoon_greenery","ndbi",-0.4489,-0.4644,0.1438,-0.7605,-0.0807
"Sivaganga","post_monsoon_greenery","ndbi",-0.4817,-0.4644,0.1438,-0.7605,-0.0807
"Virudhunagar","post_monsoon_greenery","ndbi",-0.4556,-0.4644,0.1438,-0.7605,-0.0807
"Tirunelveli","post_monsoon_greenery","ndbi",-0.4677,-0.4644,0.1438,-0.7605,-0.0807
"Tenkasi","post_monsoon_greenery","ndbi",-0.4611,-0.4644,0.1438,-0.7605,-0.0807
"Thoothukudi","post_monsoon_greenery","ndbi",-0.4574,-0.4644,0.1438,-0.7605,-0.0807
"Kanyakumari","post_monsoon_greenery","ndbi",-0.4880,-0.4644,0.1438,-0.7605,-0.0807
