district,season,index,mean,median,std,min,max
"Chennai","post_monsoon_greenery","ndvi",0.5700,0.5693,0.1191,0.2326,0.8043
"Kanchipuram","post_monsoon_greenery","ndvi",0.5668,0.5693,0.1191,0.2326,0.8043
"Chengalpattu","post_monsoon_greenery","ndvi",0.5830,0.5693,0.1191,0.2326,0.8043
"Thiruvallur","post_monsoon_greenery","ndvi",0.5551,0.5693,0.1191,0.2326,0.8043
"Vellore","post_monsoon_greenery","ndvi",0.5513,0.5693,0.1191,0.2326,0.8043
"Ranipet","post_monsoon_greenery","ndvi",0.5626,0.5693,0.1191,0.2326,0.8043
"Tirupathur","post_monsoon_greenery","ndvi",0.5675,0.5693,0.1191,0.2326,0.8043
"Tiruvannamalai","post_monsoon_greenery","ndvi",0.5456,0.5693,0.1191,0.2326,0.8043
"Cuddalore","post_monsoon_greenery","ndvi",0.5733,0.5693,0.1191,0.2326,0.8043
"Villupuram","post_monsoon_greenery","ndvi",0.5805,0.5693,0.1191,0.2326,0.8043
"Kallakurichi","post_monsoon_greenery","ndvi",0.5670,0.5693,0.1191,0.2326,0.8043
"Salem","post_monsoon_greenery","ndvi",0.5638,0.5693,0.1191,0.2326,0.8043
"Namakkal","post_monsoon_greenery","ndvi",0.5501,0.5693,0.1191,0.2326,0.8043
"Dharmapuri","post_monsoon_greenery","ndvi",0.5870,0.5693,0.1191,0.2326,0.8043
"Krishnagiri","post_monsoon_greenery","ndvi",0.5777,0.5693,0.1191,0.2326,0.8043
"Erode","post_monsoon_greenery","ndvi",0.5612,0.5693,0.1191,0.2326,0.8043
"Tiruppur","post_monsoon_greenery","ndvi",0.5719,0.5693,0.1191,0.2326,0.8043
"Coimbatore","post_monsoon_greenery","ndvi",0.5526,0.5693,0.1191,0.2326,0.8043
"The Nilgiris","post_monsoon_greenery","ndvi",0.5360,0.5693,0.1191,0.2326,0.8043
"Thanjavur","post_monsoon_greenery","ndvi",0.5446,0.5693,0.1191,0.2326,0.8043
"Tiruvarur","post_monsoon_greenery","ndvi",0.5372,0.5693,0.1191,0.2326,0.8043
"Nagapattinam","post_monsoon_greenery","ndvi",0.5629,0.5693,0.1191,0.2326,0.8043
"Mayiladuthurai","post_monsoon_greenery","ndvi",0.5697,0.5693,0.1191,0.2326,0.8043
"Tiruchirappalli","post_monsoon_greenery","ndvi",0.5552,0.5693,0.1191,0.2326,0.8043
"Perambalur","post_monsoon_greenery","ndvi",0.5642,0.5693,0.1191,0.2326,0.8043
"Ariyalur","post_monsoon_greenery","ndvi",0.5375,0.5693,0.1191,0.2326,0.8043
"Pudukkottai","post_monsoon_greenery","ndvi",0.5786,0.5693,0.1191,0.2326,0.8043
"Karur","post_monsoon_greenery","ndvi",0.5344,0.5693,0.1191,0.2326,0.8043
"Madurai","post_monsoon_greenery","ndvi",0.5705,0.5693,0.1191,0.2326,0.8043
"Theni","post_monsoon_greenery","ndvi",0.5584,0.5693,0.1191,0.2326,0.8043
"Dindigul","post_monsoon_greenery","ndvi",0.5434,0.5693,0.1191,0.2326,0.8043
"Ramanathapuram","post_monsoon_greenery","ndvi",0.5638,0.5693,0.1191,0.2326,0.8043
"Sivaganga","post_monsoon_greenery","ndvi",0.5793,0.5693,0.1191,0.2326,0.8043
"Virudhunagar","post_monsoon_greenery","ndvi",0.5572,0.5693,0.1191,0.2326,0.8043
"Tirunelveli","post_monsoon_greenery","ndvi",0.5545,0.5693,0.1191,0.2326,0.8043
"Tenkasi","post_monsoon_greenery","ndvi",0.5409,0.5693,0.1191,0.2326,0.8043
"Thoothukudi","post_monsoon_greenery","ndvi",0.5681,0.5693,0.1191,0.2326,0.8043
"Kanyakumari","post_monsoon_greenery","ndvi",0.5821,0.5693,0.1191,0.2326,0.8043
