district,taluk,season,index,mean,median,std,min,max
"Chennai","Chennai North / West","peak_dry_summer","ndwi",-0.1383,-0.1500,0.1762,-0.4992,0.3305
"Chennai","Chennai South / East","peak_dry_summer","ndwi",-0.1071,-0.1500,0.1762,-0.4992,0.3305
"Kanchipuram","Kanchipuram North / West","peak_dry_summer","ndwi",-0.1277,-0.1500,0.1762,-0.4992,0.3305
"Kanchipuram","Kanchipuram South / East","peak_dry_summer","ndwi",-0.1319,-0.1500,0.1762,-0.4992,0.3305
"Chengalpattu","Chengalpattu North / West","peak_dry_summer","ndwi",-0.0976,-0.1500,0.1762,-0.4992,0.3305
"Chengalpattu","Chengalpattu South / East","peak_dry_summer","ndwi",-0.1329,-0.1500,0.1762,-0.4992,0.3305
"Thiruvallur","Thiruvallur North / West","peak_dry_summer","ndwi",-0.0909,-0.1500,0.1762,-0.4992,0.3305
"Thiruvallur","Thiruvallur South / East","peak_dry_summer","ndwi",-0.1429,-0.1500,0.1762,-0.4992,0.3305
"Vellore","Vellore North / West","peak_dry_summer","ndwi",-0.1663,-0.1500,0.1762,-0.4992,0.3305
"Vellore","Vellore South / East","peak_dry_summer","ndwi",-0.1292,-0.1500,0.1762,-0.4992,0.3305
"Ranipet","Ranipet North / West","peak_dry_summer","ndwi",-0.1501,-0.1500,0.1762,-0.4992,0.3305
"Ranipet","Ranipet South / East","peak_dry_summer","ndwi",-0.1444,-0.1500,0.1762,-0.4992,0.3305
"Tirupathur","Tirupathur North / West","peak_dry_summer","ndwi",-0.1601,-0.1500,0.1762,-0.4992,0.3305
"Tirupathur","Tirupathur South / East","peak_dry_summer","ndwi",-0.0988,-0.1500,0.1762,-0.4992,0.3305
"Tiruvannamalai","Tiruvannamalai North / West","peak_dry_summer","ndwi",-0.1368,-0.1500,0.1762,-0.4992,0.3305
"Tiruvannamalai","Tiruvannamalai South / East","peak_dry_summer","ndwi",-0.1185,-0.1500,0.1762,-0.4992,0.3305
"Cuddalore","Cuddalore North / West","peak_dry_summer","ndwi",-0.1330,-0.1500,0.1762,-0.4992,0.3305
"Cuddalore","Cuddalore South / East","peak_dry_summer","ndwi",-0.1231,-0.1500,0.1762,-0.4992,0.3305
"Villupuram","Villupuram North / West","peak_dry_summer","ndwi",-0.1284,-0.1500,0.1762,-0.4992,0.3305
"Villupuram","Villupuram South / East","peak_dry_summer","ndwi",-0.1087,-0.1500,0.1762,-0.4992,0.3305
"Kallakurichi","Kallakurichi North / West","peak_dry_summer","ndwi",-0.1148,-0.1500,0.1762,-0.4992,0.3305
"Kallakurichi","Kallakurichi South / East","peak_dry_summer","ndwi",-0.0997,-0.1500,0.1762,-0.4992,0.3305
"Salem","Salem North / West","peak_dry_summer","ndwi",-0.1662,-0.1500,0.1762,-0.4992,0.3305
"Salem","Salem South / East","peak_dry_summer","ndwi",-0.1013,-0.1500,0.1762,-0.4992,0.3305
"Namakkal","Namakkal North / West","peak_dry_summer","ndwi",-0.1122,-0.1500,0.1762,-0.4992,0.3305
"Namakkal","Namakkal South / East","peak_dry_summer","ndwi",-0.1119,-0.1500,0.1762,-0.4992,0.3305
"Dharmapuri","Dharmapuri North / West","peak_dry_summer","ndwi",-0.1001,-0.1500,0.1762,-0.4992,0.3305
"Dharmapuri","Dharmapuri South / East","peak_dry_summer","ndwi",-0.1096,-0.1500,0.1762,-0.4992,0.3305
"Krishnagiri","Krishnagiri North / West","peak_dry_summer","ndwi",-0.1633,-0.1500,0.1762,-0.4992,0.3305
"Krishnagiri","Krishnagiri South / East","peak_dry_summer","ndwi",-0.1614,-0.1500,0.1762,-0.4992,0.3305
"Erode","Erode North / West","peak_dry_summer","ndwi",-0.0994,-0.1500,0.1762,-0.4992,0.3305
"Erode","Erode South / East","peak_dry_summer","ndwi",-0.1017,-0.1500,0.1762,-0.4992,0.3305
"Tiruppur","Tiruppur North / West","peak_dry_summer","ndwi",-0.1395,-0.1500,0.1762,-0.4992,0.3305
"Tiruppur","Tiruppur South / East","peak_dry_summer","ndwi",-0.1384,-0.1500,0.1762,-0.4992,0.3305
"Coimbatore","Coimbatore North / West","peak_dry_summer","ndwi",-0.1249,-0.1500,0.1762,-0.4992,0.3305
"Coimbatore","Coimbatore South / East","peak_dry_summer","ndwi",-0.1288,-0.1500,0.1762,-0.4992,0.3305
"The Nilgiris","The Nilgiris North / West","peak_dry_summer","ndwi",-0.1482,-0.1500,0.1762,-0.4992,0.3305
"The Nilgiris","The Nilgiris South / East","peak_dry_summer","ndwi",-0.1581,-0.1500,0.1762,-0.4992,0.3305
"Thanjavur","Thanjavur North / West","peak_dry_summer","ndwi",-0.1230,-0.1500,0.1762,-0.4992,0.3305
"Thanjavur","Thanjavur South / East","peak_dry_summer","ndwi",-0.1578,-0.1500,0.1762,-0.4992,0.3305
"Tiruvarur","Tiruvarur North / West","peak_dry_summer","ndwi",-0.0980,-0.1500,0.1762,-0.4992,0.3305
"Tiruvarur","Tiruvarur South / East","peak_dry_summer","ndwi",-0.1251,-0.1500,0.1762,-0.4992,0.3305
"Nagapattinam","Nagapattinam North / West","peak_dry_summer","ndwi",-0.1261,-0.1500,0.1762,-0.4992,0.3305
"Nagapattinam","Nagapattinam South / East","peak_dry_summer","ndwi",-0.1196,-0.1500,0.1762,-0.4992,0.3305
"Mayiladuthurai","Mayiladuthurai North / West","peak_dry_summer","ndwi",-0.1352,-0.1500,0.1762,-0.4992,0.3305
"Mayiladuthurai","Mayiladuthurai South / East","peak_dry_summer","ndwi",-0.1330,-0.1500,0.1762,-0.4992,0.3305
"Tiruchirappalli","Tiruchirappalli North / West","peak_dry_summer","ndwi",-0.1188,-0.1500,0.1762,-0.4992,0.3305
"Tiruchirappalli","Tiruchirappalli South / East","peak_dry_summer","ndwi",-0.1667,-0.1500,0.1762,-0.4992,0.3305
"Perambalur","Perambalur North / West","peak_dry_summer","ndwi",-0.1000,-0.1500,0.1762,-0.4992,0.3305
"Perambalur","Perambalur South / East","peak_dry_summer","ndwi",-0.1661,-0.1500,0.1762,-0.4992,0.3305
"Ariyalur","Ariyalur North / West","peak_dry_summer","ndwi",-0.1277,-0.1500,0.1762,-0.4992,0.3305
"Ariyalur","Ariyalur South / East","peak_dry_summer","ndwi",-0.1297,-0.1500,0.1762,-0.4992,0.3305
"Pudukkottai","Pudukkottai North / West","peak_dry_summer","ndwi",-0.0983,-0.1500,0.1762,-0.4992,0.3305
"Pudukkottai","Pudukkottai South / East","peak_dry_summer","ndwi",-0.1355,-0.1500,0.1762,-0.4992,0.3305
"Karur","Karur North / West","peak_dry_summer","ndwi",-0.1223,-0.1500,0.1762,-0.4992,0.3305
"Karur","Karur South / East","peak_dry_summer","ndwi",-0.1071,-0.1500,0.1762,-0.4992,0.3305
"Madurai","Madurai North / West","peak_dry_summer","ndwi",-0.1594,-0.1500,0.1762,-0.4992,0.3305
"Madurai","Madurai South / East","peak_dry_summer","ndwi",-0.1287,-0.1500,0.1762,-0.4992,0.3305
"Theni","Theni North / West","peak_dry_summer","ndwi",-0.1675,-0.1500,0.1762,-0.4992,0.3305
"Theni","Theni South / East","peak_dry_summer","ndwi",-0.1123,-0.1500,0.1762,-0.4992,0.3305
"Dindigul","Dindigul North / West","peak_dry_summer","ndwi",-0.1383,-0.1500,0.1762,-0.4992,0.3305
"Dindigul","Dindigul South / East","peak_dry_summer","ndwi",-0.1501,-0.1500,0.1762,-0.4992,0.3305
"Ramanathapuram","Ramanathapuram North / West","peak_dry_summer","ndwi",-0.1413,-0.1500,0.1762,-0.4992,0.3305
"Ramanathapuram","Ramanathapuram South / East","peak_dry_summer","ndwi",-0.1004,-0.1500,0.1762,-0.4992,0.3305
"Sivaganga","Sivaganga North / West","peak_dry_summer","ndwi",-0.1610,-0.1500,0.1762,-0.4992,0.3305
"Sivaganga","Sivaganga South / East","peak_dry_summer","ndwi",-0.1454,-0.1500,0.1762,-0.4992,0.3305
"Virudhunagar","Virudhunagar North / West","peak_dry_summer","ndwi",-0.0956,-0.1500,0.1762,-0.4992,0.3305
"Virudhunagar","Virudhunagar South / East","peak_dry_summer","ndwi",-0.1541,-0.1500,0.1762,-0.4992,0.3305
"Tirunelveli","Tirunelveli North / West","peak_dry_summer","ndwi",-0.1107,-0.1500,0.1762,-0.4992,0.3305
"Tirunelveli","Tirunelveli South / East","peak_dry_summer","ndwi",-0.1371,-0.1500,0.1762,-0.4992,0.3305
"Tenkasi","Tenkasi North / West","peak_dry_summer","ndwi",-0.1465,-0.1500,0.1762,-0.4992,0.3305
"Tenkasi","Tenkasi South / East","peak_dry_summer","ndwi",-0.1440,-0.1500,0.1762,-0.4992,0.3305
"Thoothukudi","Thoothukudi North / West","peak_dry_summer","ndwi",-0.1237,-0.1500,0.1762,-0.4992,0.3305
"Thoothukudi","Thoothukudi South / East","peak_dry_summer","ndwi",-0.1548,-0.1500,0.1762,-0.4992,0.3305
"Kanyakumari","Kanyakumari North / West","peak_dry_summer","ndwi",-0.0935,-0.1500,0.1762,-0.4992,0.3305
"Kanyakumari","Kanyakumari South / East","peak_dry_summer","ndwi",-0.1110,-0.1500,0.1762,-0.4992,0.3305
