district,season,index,mean,median,std,min,max
"Chennai","post_monsoon_greenery","ndwi",-0.4027,-0.3994,0.1514,-0.7200,-0.0074
"Kanchipuram","post_monsoon_greenery","ndwi",-0.3900,-0.3994,0.1514,-0.7200,-0.0074
"Chengalpattu","post_monsoon_greenery","ndwi",-0.3814,-0.3994,0.1514,-0.7200,-0.0074
"Thiruvallur","post_monsoon_greenery","ndwi",-0.3813,-0.3994,0.1514,-0.7200,-0.0074
"Vellore","post_monsoon_greenery","ndwi",-0.3841,-0.3994,0.1514,-0.7200,-0.0074
"Ranipet","post_monsoon_greenery","ndwi",-0.4213,-0.3994,0.1514,-0.7200,-0.0074
"Tirupathur","post_monsoon_greenery","ndwi",-0.4024,-0.3994,0.1514,-0.7200,-0.0074
"Tiruvannamalai","post_monsoon_greenery","ndwi",-0.3785,-0.3994,0.1514,-0.7200,-0.0074
"Cuddalore","post_monsoon_greenery","ndwi",-0.3882,-0.3994,0.1514,-0.7200,-0.0074
"Villupuram","post_monsoon_greenery","ndwi",-0.3866,-0.3994,0.1514,-0.7200,-0.0074
"Kallakurichi","post_monsoon_greenery","ndwi",-0.4138,-0.3994,0.1514,-0.7200,-0.0074
"Salem","post_monsoon_greenery","ndwi",-0.4079,-0.3994,0.1514,-0.7200,-0.0074
"Namakkal","post_monsoon_greenery","ndwi",-0.3701,-0.3994,0.1514,-0.7200,-0.0074
"Dharmapuri","post_monsoon_greenery","ndwi",-0.3766,-0.3994,0.1514,-0.7200,-0.0074
"Krishnagiri","post_monsoon_greenery","ndwi",-0.4175,-0.3994,0.1514,-0.7200,-0.0074
"Erode","post_monsoon_greenery","ndwi",-0.3947,-0.3994,0.1514,-0.7200,-0.0074
"Tiruppur","post_monsoon_greenery","ndwi",-0.3980,-0.3994,0.1514,-0.7200,-0.0074
"Coimbatore","post_monsoon_greenery","ndwi",-0.4008,-0.3994,0.1514,-0.7200,-0.0074
"The Nilgiris","post_monsoon_greenery","ndwi",-0.3992,-0.3994,0.1514,-0.7200,-0.0074
"Thanjavur","post_monsoon_greenery","ndwi",-0.3889,-0.3994,0.1514,-0.7200,-0.0074
"Tiruvarur","post_monsoon_greenery","ndwi",-0.3694,-0.3994,0.1514,-0.7200,-0.0074
"Nagapattinam","post_monsoon_greenery","ndwi",-0.3749,-0.3994,0.1514,-0.7200,-0.0074
"Mayiladuthurai","post_monsoon_greenery","ndwi",-0.3749,-0.3994,0.1514,-0.7200,-0.0074
"Tiruchirappalli","post_monsoon_greenery","ndwi",-0.3852,-0.3994,0.1514,-0.7200,-0.0074
"Perambalur","post_monsoon_greenery","ndwi",-0.4264,-0.3994,0.1514,-0.7200,-0.0074
"Ariyalur","post_monsoon_greenery","ndwi",-0.4010,-0.3994,0.1514,-0.7200,-0.0074
"Pudukkottai","post_monsoon_greenery","ndwi",-0.3968,-0.3994,0.1514,-0.7200,-0.0074
"Karur","post_monsoon_greenery","ndwi",-0.3769,-0.3994,0.1514,-0.7200,-0.0074
"Madurai","post_monsoon_greenery","ndwi",-0.3721,-0.3994,0.1514,-0.7200,-0.0074
"Theni","post_monsoon_greenery","ndwi",-0.4003,-0.3994,0.1514,-0.7200,-0.0074
"Dindigul","post_monsoon_greenery","ndwi",-0.4094,-0.3994,0.1514,-0.7200,-0.0074
"Ramanathapuram","post_monsoon_greenery","ndwi",-0.4072,-0.3994,0.1514,-0.7200,-0.0074
"Sivaganga","post_monsoon_greenery","ndwi",-0.3927,-0.3994,0.1514,-0.7200,-0.0074
"Virudhunagar","post_monsoon_greenery","ndwi",-0.4109,-0.3994,0.1514,-0.7200,-0.0074
"Tirunelveli","post_monsoon_greenery","ndwi",-0.3728,-0.3994,0.1514,-0.7200,-0.0074
"Tenkasi","post_monsoon_greenery","ndwi",-0.4023,-0.3994,0.1514,-0.7200,-0.0074
"Thoothukudi","post_monsoon_greenery","ndwi",-0.3680,-0.3994,0.1514,-0.7200,-0.0074
"Kanyakumari","post_monsoon_greenery","ndwi",-0.4209,-0.3994,0.1514,-0.7200,-0.0074
