district,taluk,season,index,mean,median,std,min,max
"Chennai","Chennai North / West","post_monsoon_greenery","ndbi",-0.4866,-0.4644,0.1438,-0.7605,-0.0807
"Chennai","Chennai South / East","post_monsoon_greenery","ndbi",-0.4607,-0.4644,0.1438,-0.7605,-0.0807
"Kanchipuram","Kanchipuram North / West","post_monsoon_greenery","ndbi",-0.4322,-0.4644,0.1438,-0.7605,-0.0807
"Kanchipuram","Kanchipuram South / East","post_monsoon_greenery","ndbi",-0.4733,-0.4644,0.1438,-0.7605,-0.0807
"Chengalpattu","Chengalpattu North / West","post_monsoon_greenery","ndbi",-0.4346,-0.4644,0.1438,-0.7605,-0.0807
"Chengalpattu","Chengalpattu South / East","post_monsoon_greenery","ndbi",-0.4676,-0.4644,0.1438,-0.7605,-0.0807
"Thiruvallur","Thiruvallur North / West","post_monsoon_greenery","ndbi",-0.4334,-0.4644,0.1438,-0.7605,-0.0807
"Thiruvallur","Thiruvallur South / East","post_monsoon_greenery","ndbi",-0.4794,-0.4644,0.1438,-0.7605,-0.0807
"Vellore","Vellore North / West","post_monsoon_greenery","ndbi",-0.4639,-0.4644,0.1438,-0.7605,-0.0807
"Vellore","Vellore South / East","post_monsoon_greenery","ndbi",-0.4793,-0.4644,0.1438,-0.7605,-0.0807
"Ranipet","Ranipet North / West","post_monsoon_greenery","ndbi",-0.4844,-0.4644,0.1438,-0.7605,-0.0807
"Ranipet","Ranipet South / East","post_monsoon_greenery","ndbi",-0.4679,-0.4644,0.1438,-0.7605,-0.0807
"Tirupathur","Tirupathur North / West","post_monsoon_greenery","ndbi",-0.4748,-0.4644,0.1438,-0.7605,-0.0807
"Tirupathur","Tirupathur South / East","post_monsoon_greenery","ndbi",-0.4387,-0.4644,0.1438,-0.7605,-0.0807
"Tiruvannamalai","Tiruvannamalai North / West","post_monsoon_greenery","ndbi",-0.4418,-0.4644,0.1438,-0.7605,-0.0807
"Tiruvannamalai","Tiruvannamalai South / East","post_monsoon_greenery","ndbi",-0.4729,-0.4644,0.1438,-0.7605,-0.0807
"Cuddalore","Cuddalore North / West","post_monsoon_greenery","ndbi",-0.4222,-0.4644,0.1438,-0.7605,-0.0807
"Cuddalore","Cuddalore South / East","post_monsoon_greenery","ndbi",-0.4237,-0.4644,0.1438,-0.7605,-0.0807
"Villupuram","Villupuram North / West","post_monsoon_greenery","ndbi",-0.4282,-0.4644,0.1438,-0.7605,-0.0807
"Villupuram","Villupuram South / East","post_monsoon_greenery","ndbi",-0.4547,-0.4644,0.1438,-0.7605,-0.0807
"Kallakurichi","Kallakurichi North / West","post_monsoon_greenery","ndbi",-0.4686,-0.4644,0.1438,-0.7605,-0.0807
"Kallakurichi","Kallakurichi South / East","post_monsoon_greenery","ndbi",-0.4766,-0.4644,0.1438,-0.7605,-0.0807
"Salem","Salem North / West","post_monsoon_greenery","ndbi",-0.5004,-0.4644,0.1438,-0.7605,-0.0807
"Salem","Salem South / East","post_monsoon_greenery","ndbi",-0.4511,-0.4644,0.1438,-0.7605,-0.0807
"Namakkal","Namakkal North / West","post_monsoon_greenery","ndbi",-0.4574,-0.4644,0.1438,-0.7605,-0.0807
"Namakkal","Namakkal South / East","post_monsoon_greenery","ndbi",-0.4512,-0.4644,0.1438,-0.7605,-0.0807
"Dharmapuri","Dharmapuri North / West","post_monsoon_greenery","ndbi",-0.4555,-0.4644,0.1438,-0.7605,-0.0807
"Dharmapuri","Dharmapuri South / East","post_monsoon_greenery","ndbi",-0.4906,-0.4644,0.1438,-0.7605,-0.0807
"Krishnagiri","Krishnagiri North / West","post_monsoon_greenery","ndbi",-0.4460,-0.4644,0.1438,-0.7605,-0.0807
"Krishnagiri","Krishnagiri South / East","post_monsoon_greenery","ndbi",-0.4728,-0.4644,0.1438,-0.7605,-0.0807
"Erode","Erode North / West","post_monsoon_greenery","ndbi",-0.4603,-0.4644,0.1438,-0.7605,-0.0807
"Erode","Erode South / East","post_monsoon_greenery","ndbi",-0.4724,-0.4644,0.1438,-0.7605,-0.0807
"Tiruppur","Tiruppur North / West","post_monsoon_greenery","ndbi",-0.4999,-0.4644,0.1438,-0.7605,-0.0807
"Tiruppur","Tiruppur South / East","post_monsoon_greenery","ndbi",-0.4315,-0.4644,0.1438,-0.7605,-0.0807
"Coimbatore","Coimbatore North / West","post_monsoon_greenery","ndbi",-0.4897,-0.4644,0.1438,-0.7605,-0.0807
"Coimbatore","Coimbatore South / East","post_monsoon_greenery","ndbi",-0.4551,-0.4644,0.1438,-0.7605,-0.0807
"The Nilgiris","The Nilgiris North / West","post_monsoon_greenery","ndbi",-0.4310,-0.4644,0.1438,-0.7605,-0.0807
"The Nilgiris","The Nilgiris South / East","post_monsoon_greenery","ndbi",-0.4839,-0.4644,0.1438,-0.7605,-0.0807
"Thanjavur","Thanjavur North / West","post_monsoon_greenery","ndbi",-0.4687,-0.4644,0.1438,-0.7605,-0.0807
"Thanjavur","Thanjavur South / East","post_monsoon_greenery","ndbi",-0.4714,-0.4644,0.1438,-0.7605,-0.0807
"Tiruvarur","Tiruvarur North / West","post_monsoon_greenery","ndbi",-0.4945,-0.4644,0.1438,-0.7605,-0.0807
"Tiruvarur","Tiruvarur South / East","post_monsoon_greenery","ndbi",-0.4677,-0.4644,0.1438,-0.7605,-0.0807
"Nagapattinam","Nagapattinam North / West","post_monsoon_greenery","ndbi",-0.4633,-0.4644,0.1438,-0.7605,-0.0807
"Nagapattinam","Nagapattinam South / East","post_monsoon_greenery","ndbi",-0.4995,-0.4644,0.1438,-0.7605,-0.0807
"Mayiladuthurai","Mayiladuthurai North / West","post_monsoon_greenery","ndbi",-0.4626,-0.4644,0.1438,-0.7605,-0.0807
"Mayiladuthurai","Mayiladuthurai South / East","post_monsoon_greenery","ndbi",-0.4941,-0.4644,0.1438,-0.7605,-0.0807
"Tiruchirappalli","Tiruchirappalli North / West","post_monsoon_greenery","ndbi",-0.4302,-0.4644,0.1438,-0.7605,-0.0807
"Tiruchirappalli","Tiruchirappalli South / East","post_monsoon_greenery","ndbi",-0.4496,-0.4644,0.1438,-0.7605,-0.0807
"Perambalur","Perambalur North / West","post_monsoon_greenery","ndbi",-0.4971,-0.4644,0.1438,-0.7605,-0.0807
"Perambalur","Perambalur South / East","post_monsoon_greenery","ndbi",-0.4355,-0.4644,0.1438,-0.7605,-0.0807
"Ariyalur","Ariyalur North / West","post_monsoon_greenery","ndbi",-0.4727,-0.4644,0.1438,-0.7605,-0.0807
"Ariyalur","Ariyalur South / East","post_monsoon_greenery","ndbi",-0.4836,-0.4644,0.1438,-0.7605,-0.0807
"Pudukkottai","Pudukkottai North / West","post_monsoon_greenery","ndbi",-0.4813,-0.4644,0.1438,-0.7605,-0.0807
"Pudukkottai","Pudukkottai South / East","post_monsoon_greenery","ndbi",-0.4538,-0.4644,0.1438,-0.7605,-0.0807
"Karur","Karur North / West","post_monsoon_greenery","ndbi",-0.4951,-0.4644,0.1438,-0.7605,-0.0807
"Karur","Karur South / East","post_monsoon_greenery","ndbi",-0.4969,-0.4644,0.1438,-0.7605,-0.0807
"Madurai","Madurai North / West","post_monsoon_greenery","ndbi",-0.4514,-0.4644,0.1438,-0.7605,-0.0807
"Madurai","Madurai South / East","post_monsoon_greenery","ndbi",-0.4231,-0.4644,0.1438,-0.7605,-0.0807
"Theni","Theni North / West","post_monsoon_greenery","ndbi",-0.4630,-0.4644,0.1438,-0.7605,-0.0807
"Theni","Theni South / East","post_monsoon_greenery","ndbi",-0.4686,-0.4644,0.1438,-0.7605,-0.0807
"Dindigul","Dindigul North / West","post_monsoon_greenery","ndbi",-0.4258,-0.4644,0.1438,-0.7605,-0.0807
"Dindigul","Dindigul South / East","post_monsoon_greenery","ndbi",-0.4823,-0.4644,0.1438,-0.7605,-0.0807
"Ramanathapuram","Ramanathapuram North / West","post_monsoon_greenery","ndbi",-0.4824,-0.4644,0.1438,-0.7605,-0.0807
"Ramanathapuram","Ramanathapuram South / East","post_monsoon_greenery","ndbi",-0.4292,-0.4644,0.1438,-0.7605,-0.0807
"Sivaganga","Sivaganga North / West","post_monsoon_greenery","ndbi",-0.4499,-0.4644,0.1438,-0.7605,-0.0807
"Sivaganga","Sivaganga South / East","post_monsoon_greenery","ndbi",-0.4973,-0.4644,0.1438,-0.7605,-0.0807
"Virudhunagar","Virudhunagar North / West","post_monsoon_greenery","ndbi",-0.4477,-0.4644,0.1438,-0.7605,-0.0807
"Virudhunagar","Virudhunagar South / East","post_monsoon_greenery","ndbi",-0.4360,-0.4644,0.1438,-0.7605,-0.0807
"Tirunelveli","Tirunelveli North / West","post_monsoon_greenery","ndbi",-0.4797,-0.4644,0.1438,-0.7605,-0.0807
"Tirunelveli","Tirunelveli South / East","post_monsoon_greenery","ndbi",-0.4710,-0.4644,0.1438,-0.7605,-0.0807
"Tenkasi","Tenkasi North / West","post_monsoon_greenery","ndbi",-0.4858,-0.4644,0.1438,-0.7605,-0.0807
"Tenkasi","Tenkasi South / East","post_monsoon_greenery","ndbi",-0.4510,-0.4644,0.1438,-0.7605,-0.0807
"Thoothukudi","Thoothukudi North / West","post_monsoon_greenery","ndbi",-0.4485,-0.4644,0.1438,-0.7605,-0.0807
"Thoothukudi","Thoothukudi South / East","post_monsoon_greenery","ndbi",-0.4961,-0.4644,0.1438,-0.7605,-0.0807
"Kanyakumari","Kanyakumari North / West","post_monsoon_greenery","ndbi",-0.4474,-0.4644,0.1438,-0.7605,-0.0807
"Kanyakumari","Kanyakumari South / East","post_monsoon_greenery","ndbi",-0.4489,-0.4644,0.1438,-0.7605,-0.0807
