district,season,index,mean,median,std,min,max
"Chennai","peak_dry_summer","ndvi",0.0514,0.0386,0.1809,-0.4279,0.4276
"Kanchipuram","peak_dry_summer","ndvi",0.0240,0.0386,0.1809,-0.4279,0.4276
"Chengalpattu","peak_dry_summer","ndvi",0.0444,0.0386,0.1809,-0.4279,0.4276
"Thiruvallur","peak_dry_summer","ndvi",0.0467,0.0386,0.1809,-0.4279,0.4276
"Vellore","peak_dry_summer","ndvi",0.0046,0.0386,0.1809,-0.4279,0.4276
"Ranipet","peak_dry_summer","ndvi",0.0371,0.0386,0.1809,-0.4279,0.4276
"Tirupathur","peak_dry_summer","ndvi",0.0254,0.0386,0.1809,-0.4279,0.4276
"Tiruvannamalai","peak_dry_summer","ndvi",0.0489,0.0386,0.1809,-0.4279,0.4276
"Cuddalore","peak_dry_summer","ndvi",0.0494,0.0386,0.1809,-0.4279,0.4276
"Villupuram","peak_dry_summer","ndvi",0.0441,0.0386,0.1809,-0.4279,0.4276
"Kallakurichi","peak_dry_summer","ndvi",0.0176,0.0386,0.1809,-0.4279,0.4276
"Salem","peak_dry_summer","ndvi",0.0423,0.0386,0.1809,-0.4279,0.4276
"Namakkal","peak_dry_summer","ndvi",0.0454,0.0386,0.1809,-0.4279,0.4276
"Dharmapuri","peak_dry_summer","ndvi",0.0342,0.0386,0.1809,-0.4279,0.4276
"Krishnagiri","peak_dry_summer","ndvi",0.0529,0.0386,0.1809,-0.4279,0.4276
"Erode","peak_dry_summer","ndvi",0.0310,0.0386,0.1809,-0.4279,0.4276
"Tiruppur","peak_dry_summer","ndvi",0.0146,0.0386,0.1809,-0.4279,0.4276
"Coimbatore","peak_dry_summer","ndvi",0.0414,0.0386,0.1809,-0.4279,0.4276
"The Nilgiris","peak_dry_summer","ndvi",0.0416,0.0386,0.1809,-0.4279,0.4276
"Thanjavur","peak_dry_summer","ndvi",-0.0003,0.0386,0.1809,-0.4279,0.4276
"Tiruvarur","peak_dry_summer","ndvi",0.0160,0.0386,0.1809,-0.4279,0.4276
"Nagapattinam","peak_dry_summer","ndvi",0.0413,0.0386,0.1809,-0.4279,0.4276
"Mayiladuthurai","peak_dry_summer","ndvi",0.0403,0.0386,0.1809,-0.4279,0.4276
"Tiruchirappalli","peak_dry_summer","ndvi",0.0391,0.0386,0.1809,-0.4279,0.4276
"Perambalur","peak_dry_summer","ndvi",0.0382,0.0386,0.1809,-0.4279,0.4276
"Ariyalur","peak_dry_summer","ndvi",0.0333,0.0386,0.1809,-0.4279,0.4276
"Pudukkottai","peak_dry_summer","ndvi",0.0066,0.0386,0.1809,-0.4279,0.4276
"Karur","peak_dry_summer","ndvi",0.0345,0.0386,0.1809,-0.4279,0.4276
"Madurai","peak_dry_summer","ndvi",0.0339,0.0386,0.1809,-0.4279,0.4276
"Theni","peak_dry_summer","ndvi",0.0297,0.0386,0.1809,-0.4279,0.4276
"Dindigul","peak_dry_summer","ndvi",0.0099,0.0386,0.1809,-0.4279,0.4276
"Ramanathapuram","peak_dry_summer","ndvi",0.0037,0.0386,0.1809,-0.4279,0.4276
"Sivaganga","peak_dry_summer","ndvi",0.0536,0.0386,0.1809,-0.4279,0.4276
"Virudhunagar","peak_dry_summer","ndvi",0.0545,0.0386,0.1809,-0.4279,0.4276
"Tirunelveli","peak_dry_summer","ndvi",0.0385,0.0386,0.1809,-0.4279,0.4276
"Tenkasi","peak_dry_summer","ndvi",-0.0024,0.0386,0.1809,-0.4279,0.4276
"Thoothukudi","peak_dry_summer","ndvi",0.0522,0.0386,0.1809,-0.4279,0.4276
"Kanyakumari","peak_dry_summer","ndvi",0.0206,0.0386,0.1809,-0.4279,0.4276
