district,taluk,season,index,mean,median,std,min,max
"Chennai","Chennai North / West","peak_dry_summer","ndvi",0.0183,0.0386,0.1809,-0.4279,0.4276
"Chennai","Chennai South / East","peak_dry_summer","ndvi",0.0035,0.0386,0.1809,-0.4279,0.4276
"Kanchipuram","Kanchipuram North / West","peak_dry_summer","ndvi",0.0638,0.0386,0.1809,-0.4279,0.4276
"Kanchipuram","Kanchipuram South / East","peak_dry_summer","ndvi",0.0278,0.0386,0.1809,-0.4279,0.4276
"Chengalpattu","Chengalpattu North / West","peak_dry_summer","ndvi",0.0408,0.0386,0.1809,-0.4279,0.4276
"Chengalpattu","Chengalpattu South / East","peak_dry_summer","ndvi",0.0448,0.0386,0.1809,-0.4279,0.4276
"Thiruvallur","Thiruvallur North / West","peak_dry_summer","ndvi",0.0584,0.0386,0.1809,-0.4279,0.4276
"Thiruvallur","Thiruvallur South / East","peak_dry_summer","ndvi",0.0217,0.0386,0.1809,-0.4279,0.4276
"Vellore","Vellore North / West","peak_dry_summer","ndvi",0.0449,0.0386,0.1809,-0.4279,0.4276
"Vellore","Vellore South / East","peak_dry_summer","ndvi",-0.0121,0.0386,0.1809,-0.4279,0.4276
"Ranipet","Ranipet North / West","peak_dry_summer","ndvi",0.0160,0.0386,0.1809,-0.4279,0.4276
"Ranipet","Ranipet South / East","peak_dry_summer","ndvi",0.0440,0.0386,0.1809,-0.4279,0.4276
"Tirupathur","Tirupathur North / West","peak_dry_summer","ndvi",0.0516,0.0386,0.1809,-0.4279,0.4276
"Tirupathur","Tirupathur South / East","peak_dry_summer","ndvi",0.0397,0.0386,0.1809,-0.4279,0.4276
"Tiruvannamalai","Tiruvannamalai North / West","peak_dry_summer","ndvi",0.0440,0.0386,0.1809,-0.4279,0.4276
"Tiruvannamalai","Tiruvannamalai South / East","peak_dry_summer","ndvi",-0.0139,0.0386,0.1809,-0.4279,0.4276
"Cuddalore","Cuddalore North / West","peak_dry_summer","ndvi",0.0613,0.0386,0.1809,-0.4279,0.4276
"Cuddalore","Cuddalore South / East","peak_dry_summer","ndvi",0.0160,0.0386,0.1809,-0.4279,0.4276
"Villupuram","Villupuram North / West","peak_dry_summer","ndvi",0.0557,0.0386,0.1809,-0.4279,0.4276
"Villupuram","Villupuram South / East","peak_dry_summer","ndvi",0.0395,0.0386,0.1809,-0.4279,0.4276
"Kallakurichi","Kallakurichi North / West","peak_dry_summer","ndvi",0.0117,0.0386,0.1809,-0.4279,0.4276
"Kallakurichi","Kallakurichi South / East","peak_dry_summer","ndvi",0.0306,0.0386,0.1809,-0.4279,0.4276
"Salem","Salem North / West","peak_dry_summer","ndvi",-0.0083,0.0386,0.1809,-0.4279,0.4276
"Salem","Salem South / East","peak_dry_summer","ndvi",-0.0102,0.0386,0.1809,-0.4279,0.4276
"Namakkal","Namakkal North / West","peak_dry_summer","ndvi",0.0255,0.0386,0.1809,-0.4279,0.4276
"Namakkal","Namakkal South / East","peak_dry_summer","ndvi",0.0035,0.0386,0.1809,-0.4279,0.4276
"Dharmapuri","Dharmapuri North / West","peak_dry_summer","ndvi",-0.0031,0.0386,0.1809,-0.4279,0.4276
"Dharmapuri","Dharmapuri South / East","peak_dry_summer","ndvi",0.0454,0.0386,0.1809,-0.4279,0.4276
"Krishnagiri","Krishnagiri North / West","peak_dry_summer","ndvi",-0.0045,0.0386,0.1809,-0.4279,0.4276
"Krishnagiri","Krishnagiri South / East","peak_dry_summer","ndvi",0.0212,0.0386,0.1809,-0.4279,0.4276
"Erode","Erode North / West","peak_dry_summer","ndvi",0.0153,0.0386,0.1809,-0.4279,0.4276
"Erode","Erode South / East","peak_dry_summer","ndvi",0.0421,0.0386,0.1809,-0.4279,0.4276
"Tiruppur","Tiruppur North / West","peak_dry_summer","ndvi",0.0105,0.0386,0.1809,-0.4279,0.4276
"Tiruppur","Tiruppur South / East","peak_dry_summer","ndvi",0.0431,0.0386,0.1809,-0.4279,0.4276
"Coimbatore","Coimbatore North / West","peak_dry_summer","ndvi",0.0570,0.0386,0.1809,-0.4279,0.4276
"Coimbatore","Coimbatore South / East","peak_dry_summer","ndvi",0.0250,0.0386,0.1809,-0.4279,0.4276
"The Nilgiris","The Nilgiris North / West","peak_dry_summer","ndvi",0.0476,0.0386,0.1809,-0.4279,0.4276
"The Nilgiris","The Nilgiris South / East","peak_dry_summer","ndvi",0.0582,0.0386,0.1809,-0.4279,0.4276
"Thanjavur","Thanjavur North / West","peak_dry_summer","ndvi",-0.0088,0.0386,0.1809,-0.4279,0.4276
"Thanjavur","Thanjavur South / East","peak_dry_summer","ndvi",0.0463,0.0386,0.1809,-0.4279,0.4276
"Tiruvarur","Tiruvarur North / West","peak_dry_summer","ndvi",0.0397,0.0386,0.1809,-0.4279,0.4276
"Tiruvarur","Tiruvarur South / East","peak_dry_summer","ndvi",0.0539,0.0386,0.1809,-0.4279,0.4276
"Nagapattinam","Nagapattinam North / West","peak_dry_summer","ndvi",0.0390,0.0386,0.1809,-0.4279,0.4276
"Nagapattinam","Nagapattinam South / East","peak_dry_summer","ndvi",0.0407,0.0386,0.1809,-0.4279,0.4276
"Mayiladuthurai","Mayiladuthurai North / West","peak_dry_summer","ndvi",0.0381,0.0386,0.1809,-0.4279,0.4276
"Mayiladuthurai","Mayiladuthurai South / East","peak_dry_summer","ndvi",0.0290,0.0386,0.1809,-0.4279,0.4276
"Tiruchirappalli","Tiruchirappalli North / West","peak_dry_summer","ndvi",0.0594,0.0386,0.1809,-0.4279,0.4276
"Tiruchirappalli","Tiruchirappalli South / East","peak_dry_summer","ndvi",0.0530,0.0386,0.1809,-0.4279,0.4276
"Perambalur","Perambalur North / West","peak_dry_summer","ndvi",-0.0077,0.0386,0.1809,-0.4279,0.4276
"Perambalur","Perambalur South / East","peak_dry_summer","ndvi",0.0442,0.0386,0.1809,-0.4279,0.4276
"Ariyalur","Ariyalur North / West","peak_dry_summer","ndvi",0.0454,0.0386,0.1809,-0.4279,0.4276
"Ariyalur","Ariyalur South / East","peak_dry_summer","ndvi",-0.0056,0.0386,0.1809,-0.4279,0.4276
"Pudukkottai","Pudukkottai North / West","peak_dry_summer","ndvi",0.0294,0.0386,0.1809,-0.4279,0.4276
"Pudukkottai","Pudukkottai South / East","peak_dry_summer","ndvi",0.0268,0.0386,0.1809,-0.4279,0.4276
"Karur","Karur North / West","peak_dry_summer","ndvi",0.0028,0.0386,0.1809,-0.4279,0.4276
"Karur","Karur South / East","peak_dry_summer","ndvi",0.0361,0.0386,0.1809,-0.4279,0.4276
"Madurai","Madurai North / West","peak_dry_summer","ndvi",0.0645,0.0386,0.1809,-0.4279,0.4276
"Madurai","Madurai South / East","peak_dry_summer","ndvi",-0.0118,0.0386,0.1809,-0.4279,0.4276
"Theni","Theni North / West","peak_dry_summer","ndvi",0.0051,0.0386,0.1809,-0.4279,0.4276
"Theni","Theni South / East","peak_dry_summer","ndvi",0.0355,0.0386,0.1809,-0.4279,0.4276
"Dindigul","Dindigul North / West","peak_dry_summer","ndvi",-0.0047,0.0386,0.1809,-0.4279,0.4276
"Dindigul","Dindigul South / East","peak_dry_summer","ndvi",0.0516,0.0386,0.1809,-0.4279,0.4276
"Ramanathapuram","Ramanathapuram North / West","peak_dry_summer","ndvi",0.0062,0.0386,0.1809,-0.4279,0.4276
"Ramanathapuram","Ramanathapuram South / East","peak_dry_summer","ndvi",-0.0080,0.0386,0.1809,-0.4279,0.4276
"Sivaganga","Sivaganga North / West","peak_dry_summer","ndvi",0.0227,0.0386,0.1809,-0.4279,0.4276
"Sivaganga","Sivaganga South / East","peak_dry_summer","ndvi",-0.0128,0.0386,0.1809,-0.4279,0.4276
"Virudhunagar","Virudhunagar North / West","peak_dry_summer","ndvi",0.0096,0.0386,0.1809,-0.4279,0.4276
"Virudhunagar","Virudhunagar South / East","peak_dry_summer","ndvi",0.0266,0.0386,0.1809,-0.4279,0.4276
"Tirunelveli","Tirunelveli North / West","peak_dry_summer","ndvi",0.0497,0.0386,0.1809,-0.4279,0.4276
"Tirunelveli","Tirunelveli South / East","peak_dry_summer","ndvi",0.0031,0.0386,0.1809,-0.4279,0.4276
"Tenkasi","Tenkasi North / West","peak_dry_summer","ndvi",0.0317,0.0386,0.1809,-0.4279,0.4276
"Tenkasi","Tenkasi South / East","peak_dry_summer","ndvi",0.0357,0.0386,0.1809,-0.4279,0.4276
"Thoothukudi","Thoothukudi North / West","peak_dry_summer","ndvi",-0.0071,0.0386,0.1809,-0.4279,0.4276
"Thoothukudi","Thoothukudi South / East","peak_dry_summer","ndvi",0.0615,0.0386,0.1809,-0.4279,0.4276
"Kanyakumari","Kanyakumari North / West","peak_dry_summer","ndvi",0.0424,0.0386,0.1809,-0.4279,0.4276
"Kanyakumari","Kanyakumari South / East","peak_dry_summer","ndvi",0.0263,0.0386,0.1809,-0.4279,0.4276
