district,taluk,season,index,mean,median,std,min,max
"Chennai","Chennai North / West","post_monsoon_greenery","ndvi",0.5265,0.5693,0.1191,0.2326,0.8043
"Chennai","Chennai South / East","post_monsoon_greenery","ndvi",0.5631,0.5693,0.1191,0.2326,0.8043
"Kanchipuram","Kanchipuram North / West","post_monsoon_greenery","ndvi",0.5512,0.5693,0.1191,0.2326,0.8043
"Kanchipuram","Kanchipuram South / East","post_monsoon_greenery","ndvi",0.5873,0.5693,0.1191,0.2326,0.8043
"Chengalpattu","Chengalpattu North / West","post_monsoon_greenery","ndvi",0.5856,0.5693,0.1191,0.2326,0.8043
"Chengalpattu","Chengalpattu South / East","post_monsoon_greenery","ndvi",0.5775,0.5693,0.1191,0.2326,0.8043
"Thiruvallur","Thiruvallur North / West","post_monsoon_greenery","ndvi",0.5532,0.5693,0.1191,0.2326,0.8043
"Thiruvallur","Thiruvallur South / East","post_monsoon_greenery","ndvi",0.5729,0.5693,0.1191,0.2326,0.8043
"Vellore","Vellore North / West","post_monsoon_greenery","ndvi",0.5736,0.5693,0.1191,0.2326,0.8043
"Vellore","Vellore South / East","post_monsoon_greenery","ndvi",0.5490,0.5693,0.1191,0.2326,0.8043
"Ranipet","Ranipet North / West","post_monsoon_greenery","ndvi",0.5928,0.5693,0.1191,0.2326,0.8043
"Ranipet","Ranipet South / East","post_monsoon_greenery","ndvi",0.6012,0.5693,0.1191,0.2326,0.8043
"Tirupathur","Tirupathur North / West","post_monsoon_greenery","ndvi",0.5475,0.5693,0.1191,0.2326,0.8043
"Tirupathur","Tirupathur South / East","post_monsoon_greenery","ndvi",0.5865,0.5693,0.1191,0.2326,0.8043
"Tiruvannamalai","Tiruvannamalai North / West","post_monsoon_greenery","ndvi",0.5625,0.5693,0.1191,0.2326,0.8043
"Tiruvannamalai","Tiruvannamalai South / East","post_monsoon_greenery","ndvi",0.5595,0.5693,0.1191,0.2326,0.8043
"Cuddalore","Cuddalore North / West","post_monsoon_greenery","ndvi",0.5533,0.5693,0.1191,0.2326,0.8043
"Cuddalore","Cuddalore South / East","post_monsoon_greenery","ndvi",0.5458,0.5693,0.1191,0.2326,0.8043
"Villupuram","Villupuram North / West","post_monsoon_greenery","ndvi",0.5960,0.5693,0.1191,0.2326,0.8043
"Villupuram","Villupuram South / East","post_monsoon_greenery","ndvi",0.5817,0.5693,0.1191,0.2326,0.8043
"Kallakurichi","Kallakurichi North / West","post_monsoon_greenery","ndvi",0.5577,0.5693,0.1191,0.2326,0.8043
"Kallakurichi","Kallakurichi South / East","post_monsoon_greenery","ndvi",0.5825,0.5693,0.1191,0.2326,0.8043
"Salem","Salem North / West","post_monsoon_greenery","ndvi",0.5799,0.5693,0.1191,0.2326,0.8043
"Salem","Salem South / East","post_monsoon_greenery","ndvi",0.5438,0.5693,0.1191,0.2326,0.8043
"Namakkal","Namakkal North / West","post_monsoon_greenery","ndvi",0.5365,0.5693,0.1191,0.2326,0.8043
"Namakkal","Namakkal South / East","post_monsoon_greenery","ndvi",0.5893,0.5693,0.1191,0.2326,0.8043
"Dharmapuri","Dharmapuri North / West","post_monsoon_greenery","ndvi",0.5873,0.5693,0.1191,0.2326,0.8043
"Dharmapuri","Dharmapuri South / East","post_monsoon_greenery","ndvi",0.6021,0.5693,0.1191,0.2326,0.8043
"Krishnagiri","Krishnagiri North / West","post_monsoon_greenery","ndvi",0.5239,0.5693,0.1191,0.2326,0.8043
"Krishnagiri","Krishnagiri South / East","post_monsoon_greenery","ndvi",0.5656,0.5693,0.1191,0.2326,0.8043
"Erode","Erode North / West","post_monsoon_greenery","ndvi",0.5785,0.5693,0.1191,0.2326,0.8043
"Erode","Erode South / East","post_monsoon_greenery","ndvi",0.5690,0.5693,0.1191,0.2326,0.8043
"Tiruppur","Tiruppur North / West","post_monsoon_greenery","ndvi",0.5792,0.5693,0.1191,0.2326,0.8043
"Tiruppur","Tiruppur South / East","post_monsoon_greenery","ndvi",0.5334,0.5693,0.1191,0.2326,0.8043
"Coimbatore","Coimbatore North / West","post_monsoon_greenery","ndvi",0.5225,0.5693,0.1191,0.2326,0.8043
"Coimbatore","Coimbatore South / East","post_monsoon_greenery","ndvi",0.5298,0.5693,0.1191,0.2326,0.8043
"The Nilgiris","The Nilgiris North / West","post_monsoon_greenery","ndvi",0.5528,0.5693,0.1191,0.2326,0.8043
"The Nilgiris","The Nilgiris South / East","post_monsoon_greenery","ndvi",0.5487,0.5693,0.1191,0.2326,0.8043
