district,season,index,mean,median,std,min,max
"Chennai","peak_dry_summer","ndbi",0.1627,0.1398,0.1805,-0.2816,0.5675
"Kanchipuram","peak_dry_summer","ndbi",0.1413,0.1398,0.1805,-0.2816,0.5675
"Chengalpattu","peak_dry_summer","ndbi",0.1596,0.1398,0.1805,-0.2816,0.5675
"Thiruvallur","peak_dry_summer","ndbi",0.1317,0.1398,0.1805,-0.2816,0.5675
"Vellore","peak_dry_summer","ndbi",0.1626,0.1398,0.1805,-0.2816,0.5675
"Ranipet","peak_dry_summer","ndbi",0.1467,0.1398,0.1805,-0.2816,0.5675
"Tirupathur","peak_dry_summer","ndbi",0.1343,0.1398,0.1805,-0.2816,0.5675
"Tiruvannamalai","peak_dry_summer","ndbi",0.1729,0.1398,0.1805,-0.2816,0.5675
"Cuddalore","peak_dry_summer","ndbi",0.1497,0.1398,0.1805,-0.2816,0.5675
"Villupuram","peak_dry_summer","ndbi",0.1498,0.1398,0.1805,-0.2816,0.5675
"Kallakurichi","peak_dry_summer","ndbi",0.1653,0.1398,0.1805,-0.2816,0.5675
"Salem","peak_dry_summer","ndbi",0.1423,0.1398,0.1805,-0.2816,0.5675
"Namakkal","peak_dry_summer","ndbi",0.1459,0.1398,0.1805,-0.2816,0.5675
"Dharmapuri","peak_dry_summer","ndbi",0.1696,0.1398,0.1805,-0.2816,0.5675
"Krishnagiri","peak_dry_summer","ndbi",0.1555,0.1398,0.1805,-0.2816,0.5675
"Erode","peak_dry_summer","ndbi",0.1465,0.1398,0.1805,-0.2816,0.5675
"Tiruppur","peak_dry_summer","ndbi",0.1299,0.1398,0.1805,-0.2816,0.5675
"Coimbatore","peak_dry_summer","ndbi",0.1423,0.1398,0.1805,-0.2816,0.5675
"The Nilgiris","peak_dry_summer","ndbi",0.1478,0.1398,0.1805,-0.2816,0.5675
"Thanjavur","peak_dry_summer","ndbi",0.1171,0.1398,0.1805,-0.2816,0.5675
"Tiruvarur","peak_dry_summer","ndbi",0.1184,0.1398,0.1805,-0.2816,0.5675
"Nagapattinam","peak_dry_summer","ndbi",0.1148,0.1398,0.1805,-0.2816,0.5675
"Mayiladuthurai","peak_dry_summer","ndbi",0.1455,0.1398,0.1805,-0.2816,0.5675
"Tiruchirappalli","peak_dry_summer","ndbi",0.1343,0.1398,0.1805,-0.2816,0.5675
"Perambalur","peak_dry_summer","ndbi",0.1356,0.1398,0.1805,-0.2816,0.5675
"Ariyalur","peak_dry_summer","ndbi",0.1183,0.1398,0.1805,-0.2816,0.5675
"Pudukkottai","peak_dry_summer","ndbi",0.1715,0.1398,0.1805,-0.2816,0.5675
"Karur","peak_dry_summer","ndbi",0.1274,0.1398,0.1805,-0.2816,0.5675
"Madurai","peak_dry_summer","ndbi",0.1741,0.1398,0.1805,-0.2816,0.5675
"Theni","peak_dry_summer","ndbi",0.1547,0.1398,0.1805,-0.2816,0.5675
"Dindigul","peak_dry_summer","ndbi",0.1651,0.1398,0.1805,-0.2816,0.5675
"Ramanathapuram","peak_dry_summer","ndbi",0.1652,0.1398,0.1805,-0.2816,0.5675
"Sivaganga","peak_dry_summer","ndbi",0.1308,0.1398,0.1805,-0.2816,0.5675
"Virudhunagar","peak_dry_summer","ndbi",0.1294,0.1398,0.1805,-0.2816,0.5675
"Tirunelveli","peak_dry_summer","ndbi",0.1742,0.1398,0.1805,-0.2816,0.5675
"Tenkasi","peak_dry_summer","ndbi",0.1291,0.1398,0.1805,-0.2816,0.5675
"Thoothukudi","peak_dry_summer","ndbi",0.1168,0.1398,0.1805,-0.2816,0.5675
"Kanyakumari","peak_dry_summer","ndbi",0.1431,0.1398,0.1805,-0.2816,0.5675
