district,season,index,mean,median,std,min,max
"Chennai","peak_dry_summer","ndwi",-0.1519,-0.1500,0.1762,-0.4992,0.3305
"Kanchipuram","peak_dry_summer","ndwi",-0.1301,-0.1500,0.1762,-0.4992,0.3305
"Chengalpattu","peak_dry_summer","ndwi",-0.1339,-0.1500,0.1762,-0.4992,0.3305
"Thiruvallur","peak_dry_summer","ndwi",-0.1287,-0.1500,0.1762,-0.4992,0.3305
"Vellore","peak_dry_summer","ndwi",-0.1191,-0.1500,0.1762,-0.4992,0.3305
"Ranipet","peak_dry_summer","ndwi",-0.1246,-0.1500,0.1762,-0.4992,0.3305
"Tirupathur","peak_dry_summer","ndwi",-0.1557,-0.1500,0.1762,-0.4992,0.3305
"Tiruvannamalai","peak_dry_summer","ndwi",-0.1504,-0.1500,0.1762,-0.4992,0.3305
"Cuddalore","peak_dry_summer","ndwi",-0.1528,-0.1500,0.1762,-0.4992,0.3305
"Villupuram","peak_dry_summer","ndwi",-0.1138,-0.1500,0.1762,-0.4992,0.3305
"Kallakurichi","peak_dry_summer","ndwi",-0.1168,-0.1500,0.1762,-0.4992,0.3305
"Salem","peak_dry_summer","ndwi",-0.1542,-0.1500,0.1762,-0.4992,0.3305
"Namakkal","peak_dry_summer","ndwi",-0.1125,-0.1500,0.1762,-0.4992,0.3305
"Dharmapuri","peak_dry_summer","ndwi",-0.1423,-0.1500,0.1762,-0.4992,0.3305
"Krishnagiri","peak_dry_summer","ndwi",-0.1339,-0.1500,0.1762,-0.4992,0.3305
"Erode","peak_dry_summer","ndwi",-0.1587,-0.1500,0.1762,-0.4992,0.3305
"Tiruppur","peak_dry_summer","ndwi",-0.1207,-0.1500,0.1762,-0.4992,0.3305
"Coimbatore","peak_dry_summer","ndwi",-0.1438,-0.1500,0.1762,-0.4992,0.3305
"The Nilgiris","peak_dry_summer","ndwi",-0.1071,-0.1500,0.1762,-0.4992,0.3305
"Thanjavur","peak_dry_summer","ndwi",-0.1061,-0.1500,0.1762,-0.4992,0.3305
"Tiruvarur","peak_dry_summer","ndwi",-0.1177,-0.1500,0.1762,-0.4992,0.3305
"Nagapattinam","peak_dry_summer","ndwi",-0.1162,-0.1500,0.1762,-0.4992,0.3305
"Mayiladuthurai","peak_dry_summer","ndwi",-0.1421,-0.1500,0.1762,-0.4992,0.3305
"Tiruchirappalli","peak_dry_summer","ndwi",-0.1428,-0.1500,0.1762,-0.4992,0.3305
"Perambalur","peak_dry_summer","ndwi",-0.1222,-0.1500,0.1762,-0.4992,0.3305
"Ariyalur","peak_dry_summer","ndwi",-0.1027,-0.1500,0.1762,-0.4992,0.3305
"Pudukkottai","peak_dry_summer","ndwi",-0.1023,-0.1500,0.1762,-0.4992,0.3305
"Karur","peak_dry_summer","ndwi",-0.1165,-0.1500,0.1762,-0.4992,0.3305
"Madurai","peak_dry_summer","ndwi",-0.1098,-0.1500,0.1762,-0.4992,0.3305
"Theni","peak_dry_summer","ndwi",-0.1510,-0.1500,0.1762,-0.4992,0.3305
"Dindigul","peak_dry_summer","ndwi",-0.1503,-0.1500,0.1762,-0.4992,0.3305
"Ramanathapuram","peak_dry_summer","ndwi",-0.1494,-0.1500,0.1762,-0.4992,0.3305
"Sivaganga","peak_dry_summer","ndwi",-0.1502,-0.1500,0.1762,-0.4992,0.3305
"Virudhunagar","peak_dry_summer","ndwi",-0.1033,-0.1500,0.1762,-0.4992,0.3305
"Tirunelveli","peak_dry_summer","ndwi",-0.1019,-0.1500,0.1762,-0.4992,0.3305
"Tenkasi","peak_dry_summer","ndwi",-0.1091,-0.1500,0.1762,-0.4992,0.3305
"Thoothukudi","peak_dry_summer","ndwi",-0.1588,-0.1500,0.1762,-0.4992,0.3305
"Kanyakumari","peak_dry_summer","ndwi",-0.1401,-0.1500,0.1762,-0.4992,0.3305
