district,taluk,season,index,mean,median,std,min,max
"Chennai","Chennai North / West","post_monsoon_greenery","ndwi",-0.3925,-0.3994,0.1514,-0.7200,-0.0074
"Chennai","Chennai South / East","post_monsoon_greenery","ndwi",-0.4242,-0.3994,0.1514,-0.7200,-0.0074
"Kanchipuram","Kanchipuram North / West","post_monsoon_greenery","ndwi",-0.3845,-0.3994,0.1514,-0.7200,-0.0074
"Kanchipuram","Kanchipuram South / East","post_monsoon_greenery","ndwi",-0.4350,-0.3994,0.1514,-0.7200,-0.0074
"Chengalpattu","Chengalpattu North / West","post_monsoon_greenery","ndwi",-0.3704,-0.3994,0.1514,-0.7200,-0.0074
"Chengalpattu","Chengalpattu South / East","post_monsoon_greenery","ndwi",-0.3637,-0.3994,0.1514,-0.7200,-0.0074
"Thiruvallur","Thiruvallur North / West","post_monsoon_greenery","ndwi",-0.3897,-0.3994,0.1514,-0.7200,-0.0074
"Thiruvallur","Thiruvallur South / East","post_monsoon_greenery","ndwi",-0.3669,-0.3994,0.1514,-0.7200,-0.0074
"Vellore","Vellore North / West","post_monsoon_greenery","ndwi",-0.4307,-0.3994,0.1514,-0.7200,-0.0074
"Vellore","Vellore South / East","post_monsoon_greenery","ndwi",-0.4192,-0.3994,0.1514,-0.7200,-0.0074
"Ranipet","Ranipet North / West","post_monsoon_greenery","ndwi",-0.4120,-0.3994,0.1514,-0.7200,-0.0074
"Ranipet","Ranipet South / East","post_monsoon_greenery","ndwi",-0.3756,-0.3994,0.1514,-0.7200,-0.0074
"Tirupathur","Tirupathur North / West","post_monsoon_greenery","ndwi",-0.3987,-0.3994,0.1514,-0.7200,-0.0074
"Tirupathur","Tirupathur South / East","post_monsoon_greenery","ndwi",-0.4096,-0.3994,0.1514,-0.7200,-0.0074
"Tiruvannamalai","Tiruvannamalai North / West","post_monsoon_greenery","ndwi",-0.4248,-0.3994,0.1514,-0.7200,-0.0074
"Tiruvannamalai","Tiruvannamalai South / East","post_monsoon_greenery","ndwi",-0.3726,-0.3994,0.1514,-0.7200,-0.0074
"Cuddalore","Cuddalore North / West","post_monsoon_greenery","ndwi",-0.4358,-0.3994,0.1514,-0.7200,-0.0074
"Cuddalore","Cuddalore South / East","post_monsoon_greenery","ndwi",-0.4104,-0.3994,0.1514,-0.7200,-0.0074
"Villupuram","Villupuram North / West","post_monsoon_greenery","ndwi",-0.4180,-0.3994,0.1514,-0.7200,-0.0074
"Villupuram","Villupuram South / East","post_monsoon_greenery","ndwi",-0.4271,-0.3994,0.1514,-0.7200,-0.0074
"Kallakurichi","Kallakurichi North / West","post_monsoon_greenery","ndwi",-0.4237,-0.3994,0.1514,-0.7200,-0.0074
"Kallakurichi","Kallakurichi South / East","post_monsoon_greenery","ndwi",-0.3979,-0.3994,0.1514,-0.7200,-0.0074
"Salem","Salem North / West","post_monsoon_greenery","ndwi",-0.4033,-0.3994,0.1514,-0.7200,-0.0074
"Salem","Salem South / East","post_monsoon_greenery","ndwi",-0.3960,-0.3994,0.1514,-0.7200,-0.0074
"Namakkal","Namakkal North / West","post_monsoon_greenery","ndwi",-0.3792,-0.3994,0.1514,-0.7200,-0.0074
"Namakkal","Namakkal South / East","post_monsoon_greenery","ndwi",-0.3660,-0.3994,0.1514,-0.7200,-0.0074
"Dharmapuri","Dharmapuri North / West","post_monsoon_greenery","ndwi",-0.4280,-0.3994,0.1514,-0.7200,-0.0074
"Dharmapuri","Dharmapuri South / East","post_monsoon_greenery","ndwi",-0.4308,-0.3994,0.1514,-0.7200,-0.0074
"Krishnagiri","Krishnagiri North / West","post_monsoon_greenery","ndwi",-0.4118,-0.3994,0.1514,-0.7200,-0.0074
"Krishnagiri","Krishnagiri South / East","post_monsoon_greenery","ndwi",-0.3937,-0.3994,0.1514,-0.7200,-0.0074
"Erode","Erode North / West","post_monsoon_greenery","ndwi",-0.4294,-0.3994,0.1514,-0.7200,-0.0074
"Erode","Erode South / East","post_monsoon_greenery","ndwi",-0.3802,-0.3994,0.1514,-0.7200,-0.0074
"Tiruppur","Tiruppur North / West","post_monsoon_greenery","ndwi",-0.3929,-0.3994,0.1514,-0.7200,-0.0074
"Tiruppur","Tiruppur South / East","post_monsoon_greenery","ndwi",-0.3776,-0.3994,0.1514,-0.7200,-0.0074
"Coimbatore","Coimbatore North / West","post_monsoon_greenery","ndwi",-0.4088,-0.3994,0.1514,-0.7200,-0.0074
"Coimbatore","Coimbatore South / East","post_monsoon_greenery","ndwi",-0.4053,-0.3994,0.1514,-0.7200,-0.0074
"The Nilgiris","The Nilgiris North / West","post_monsoon_greenery","ndwi",-0.3728,-0.3994,0.1514,-0.7200,-0.0074
"The Nilgiris","The Nilgiris South / East","post_monsoon_greenery","ndwi",-0.4161,-0.3994,0.1514,-0.7200,-0.0074
"Thanjavur","Thanjavur North / West","post_monsoon_greenery","ndwi",-0.4069,-0.3994,0.1514,-0.7200,-0.0074
"Thanjavur","Thanjavur South / East","post_monsoon_greenery","ndwi",-0.4364,-0.3994,0.1514,-0.7200,-0.0074
"Tiruvarur","Tiruvarur North / West","post_monsoon_greenery","ndwi",-0.3930,-0.3994,0.1514,-0.7200,-0.0074
