district,subdistrict,population,density,urban_ratio,literacy_rate
Thiruvallur,,3728104,1137.6,65.41,74.88
Chennai,,4646732,35944.3,100.0,81.27
Kancheepuram,,3998252,859.4,63.84,75.37
Vellore,,3936331,644.6,42.69,70.47
Tiruvannamalai,,2464875,396.0,20.71,66.0
Viluppuram,,3458873,478.3,16.47,63.48
Salem,,3482056,663.2,51.06,65.64
Namakkal,,1726601,503.8,40.98,68.12
Erode,,2251744,388.3,51.25,66.29
The Nilgiris,,735394,286.1,57.54,77.46
Dindigul,,2159775,353.5,37.8,68.61
Karur,,1064493,365.5,41.8,68.3
Tiruchirappalli,,2722290,599.8,48.31,74.9
Perambalur,,565223,320.3,17.59,66.49
Ariyalur,,754894,384.4,11.92,63.67
Cuddalore,,2605914,699.7,34.39,69.66
Thiruvarur,,1264277,552.8,21.28,74.86
Thanjavur,,2405890,704.5,36.41,74.44
Pudukkottai,,1618345,345.3,20.68,68.62
Sivaganga,,1339101,312.8,31.65,71.67
Madurai,,3038252,816.8,58.66,74.83
Theni,,1245899,433.9,53.89,69.84
Ramanathapuram,,1353445,340.7,30.38,72.33
Thoothukkudi,,1750176,375.4,47.22,77.12
Tirunelveli,,3077233,449.6,48.53,73.88
Kanniyakumari,,1870374,1099.8,82.57,82.8
Dharmapuri,,1506843,331.5,18.67,60.9
Krishnagiri,,1879809,363.3,24.56,63.2
Coimbatore,,3458045,738.3,75.65,76.23
Tiruppur,,2479052,473.4,60.12,71.02
