location_id,year,month,rainfall_mm,drought_index,flood_risk
TAMIL NADU,1901,1,24.5,,
TAMIL NADU,1901,2,39.1,,
TAMIL NADU,1901,3,21.7,,
TAMIL NADU,1901,4,36.0,,
TAMIL NADU,1901,5,74.0,,
TAMIL NADU,1901,6,41.8,,
TAMIL NADU,1901,7,49.3,,
TAMIL NADU,1901,8,67.9,,
TAMIL NADU,1901,9,191.1,,
TAMIL NADU,1901,10,122.3,,
TAMIL NADU,1901,11,212.3,,
TAMIL NADU,1901,12,80.4,,
TAMIL NADU,1902,1,67.2,,
TAMIL NADU,1902,2,9.8,,
TAMIL NADU,1902,3,25.1,,
TAMIL NADU,1902,4,21.9,,
TAMIL NADU,1902,5,84.7,,
TAMIL NADU,1902,6,39.3,,
TAMIL NADU,1902,7,55.1,,
TAMIL NADU,1902,8,113.8,,
TAMIL NADU,1902,9,98.6,,
TAMIL NADU,1902,10,282.2,,
TAMIL NADU,1902,11,174.9,,
TAMIL NADU,1902,12,165.8,,
TAMIL NADU,1903,1,19.3,,
TAMIL NADU,1903,2,7.8,,
TAMIL NADU,1903,3,1.7,,
TAMIL NADU,1903,4,18.2,,
TAMIL NADU,1903,5,128.5,,
TAMIL NADU,1903,6,58.5,,
TAMIL NADU,1903,7,72.6,,
TAMIL NADU,1903,8,115.0,,
TAMIL NADU,1903,9,210.4,,
TAMIL NADU,1903,10,128.1,,
TAMIL NADU,1903,11,200.5,,
TAMIL NADU,1903,12,203.2,,
TAMIL NADU,1904,1,35.2,,
TAMIL NADU,1904,2,0.1,,
TAMIL NADU,1904,3,0.7,,
TAMIL NADU,1904,4,19.5,,
TAMIL NADU,1904,5,121.9,,
TAMIL NADU,1904,6,34.9,,
TAMIL NADU,1904,7,89.0,,
TAMIL NADU,1904,8,40.4,,
TAMIL NADU,1904,9,85.7,,
TAMIL NADU,1904,10,163.2,,
TAMIL NADU,1904,11,23.6,,
TAMIL NADU,1904,12,49.1,,
TAMIL NADU,1905,1,6.5,,
TAMIL NADU,1905,2,7.5,,
TAMIL NADU,1905,3,17.2,,
TAMIL NADU,1905,4,64.8,,
TAMIL NADU,1905,5,83.7,,
TAMIL NADU,1905,6,49.8,,
TAMIL NADU,1905,7,39.0,,
TAMIL NADU,1905,8,101.8,,
TAMIL NADU,1905,9,73.5,,
TAMIL NADU,1905,10,250.4,,
TAMIL NADU,1905,11,123.7,,
TAMIL NADU,1905,12,3.2,,
TAMIL NADU,1906,1,52.4,,
TAMIL NADU,1906,2,12.9,,
TAMIL NADU,1906,3,17.0,,
TAMIL NADU,1906,4,8.5,,
TAMIL NADU,1906,5,39.6,,
TAMIL NADU,1906,6,43.6,,
TAMIL NADU,1906,7,76.0,,
TAMIL NADU,1906,8,195.2,,
TAMIL NADU,1906,9,65.3,,
TAMIL NADU,1906,10,162.8,,
TAMIL NADU,1906,11,189.1,,
TAMIL NADU,1906,12,127.7,,
TAMIL NADU,1907,1,8.4,,
TAMIL NADU,1907,2,1.2,,
TAMIL NADU,1907,3,25.0,,
TAMIL NADU,1907,4,78.9,,
TAMIL NADU,1907,5,56.6,,
TAMIL NADU,1907,6,46.1,,
TAMIL NADU,1907,7,70.4,,
TAMIL NADU,1907,8,58.2,,
TAMIL NADU,1907,9,117.2,,
TAMIL NADU,1907,10,160.4,,
TAMIL NADU,1907,11,200.0,,
TAMIL NADU,1907,12,63.2,,
TAMIL NADU,1908,1,16.8,,
TAMIL NADU,1908,2,36.9,,
TAMIL NADU,1908,3,25.0,,
TAMIL NADU,1908,4,24.5,,
TAMIL NADU,1908,5,70.3,,
TAMIL NADU,1908,6,34.2,,
TAMIL NADU,1908,7,37.5,,
TAMIL NADU,1908,8,48.4,,
TAMIL NADU,1908,9,154.2,,
TAMIL NADU,1908,10,261.0,,
TAMIL NADU,1908,11,36.1,,
TAMIL NADU,1908,12,20.1,,
TAMIL NADU,1909,1,116.5,,
TAMIL NADU,1909,2,11.2,,
TAMIL NADU,1909,3,7.7,,
TAMIL NADU,1909,4,68.6,,
TAMIL NADU,1909,5,117.4,,
TAMIL NADU,1909,6,30.8,,
TAMIL NADU,1909,7,36.1,,
TAMIL NADU,1909,8,206.6,,
TAMIL NADU,1909,9,106.1,,
TAMIL NADU,1909,10,158.0,,
TAMIL NADU,1909,11,74.7,,
TAMIL NADU,1909,12,20.8,,
TAMIL NADU,1910,1,9.2,,
TAMIL NADU,1910,2,21.2,,
TAMIL NADU,1910,3,2.4,,
TAMIL NADU,1910,4,26.8,,
TAMIL NADU,1910,5,64.7,,
TAMIL NADU,1910,6,51.5,,
TAMIL NADU,1910,7,148.1,,
TAMIL NADU,1910,8,142.0,,
TAMIL NADU,1910,9,52.4,,
TAMIL NADU,1910,10,278.0,,
TAMIL NADU,1910,11,146.7,,
TAMIL NADU,1910,12,0.6,,
TAMIL NADU,1911,1,2.8,,
TAMIL NADU,1911,2,1.1,,
TAMIL NADU,1911,3,6.0,,
TAMIL NADU,1911,4,30.8,,
TAMIL NADU,1911,5,72.1,,
TAMIL NADU,1911,6,70.7,,
TAMIL NADU,1911,7,50.3,,
TAMIL NADU,1911,8,28.9,,
TAMIL NADU,1911,9,120.5,,
TAMIL NADU,1911,10,125.6,,
TAMIL NADU,1911,11,176.2,,
TAMIL NADU,1911,12,130.1,,
TAMIL NADU,1912,1,5.9,,
TAMIL NADU,1912,2,2.8,,
TAMIL NADU,1912,3,2.9,,
TAMIL NADU,1912,4,18.5,,
TAMIL NADU,1912,5,64.2,,
TAMIL NADU,1912,6,46.7,,
TAMIL NADU,1912,7,34.8,,
TAMIL NADU,1912,8,74.2,,
TAMIL NADU,1912,9,126.7,,
TAMIL NADU,1912,10,244.2,,
TAMIL NADU,1912,11,259.3,,
TAMIL NADU,1912,12,23.9,,
TAMIL NADU,1913,1,2.9,,
TAMIL NADU,1913,2,3.2,,
TAMIL NADU,1913,3,6.6,,
TAMIL NADU,1913,4,21.0,,
TAMIL NADU,1913,5,64.6,,
TAMIL NADU,1913,6,29.7,,
TAMIL NADU,1913,7,58.7,,
TAMIL NADU,1913,8,62.3,,
TAMIL NADU,1913,9,124.8,,
TAMIL NADU,1913,10,203.4,,
TAMIL NADU,1913,11,184.1,,
TAMIL NADU,1913,12,117.7,,
TAMIL NADU,1914,1,5.7,,
TAMIL NADU,1914,2,1.9,,
TAMIL NADU,1914,3,5.6,,
TAMIL NADU,1914,4,34.6,,
TAMIL NADU,1914,5,57.1,,
TAMIL NADU,1914,6,37.9,,
TAMIL NADU,1914,7,37.6,,
TAMIL NADU,1914,8,98.4,,
TAMIL NADU,1914,9,132.2,,
TAMIL NADU,1914,10,281.2,,
TAMIL NADU,1914,11,129.1,,
TAMIL NADU,1914,12,132.0,,
TAMIL NADU,1915,1,35.1,,
TAMIL NADU,1915,2,18.1,,
TAMIL NADU,1915,3,43.6,,
TAMIL NADU,1915,4,37.0,,
TAMIL NADU,1915,5,52.4,,
TAMIL NADU,1915,6,66.4,,
TAMIL NADU,1915,7,117.7,,
TAMIL NADU,1915,8,82.9,,
TAMIL NADU,1915,9,133.0,,
TAMIL NADU,1915,10,99.9,,
TAMIL NADU,1915,11,241.0,,
TAMIL NADU,1915,12,61.5,,
TAMIL NADU,1916,1,0.1,,
TAMIL NADU,1916,2,3.2,,
TAMIL NADU,1916,3,3.1,,
TAMIL NADU,1916,4,19.2,,
TAMIL NADU,1916,5,61.1,,
TAMIL NADU,1916,6,34.5,,
TAMIL NADU,1916,7,168.6,,
TAMIL NADU,1916,8,125.5,,
TAMIL NADU,1916,9,94.7,,
TAMIL NADU,1916,10,208.6,,
TAMIL NADU,1916,11,145.7,,
TAMIL NADU,1916,12,33.2,,
TAMIL NADU,1917,1,14.3,,
TAMIL NADU,1917,2,39.1,,
TAMIL NADU,1917,3,32.3,,
TAMIL NADU,1917,4,11.9,,
TAMIL NADU,1917,5,77.5,,
TAMIL NADU,1917,6,72.4,,
TAMIL NADU,1917,7,45.1,,
TAMIL NADU,1917,8,155.7,,
TAMIL NADU,1917,9,163.5,,
TAMIL NADU,1917,10,123.1,,
TAMIL NADU,1917,11,167.5,,
TAMIL NADU,1917,12,45.9,,
TAMIL NADU,1918,1,80.9,,
TAMIL NADU,1918,2,5.4,,
TAMIL NADU,1918,3,25.9,,
TAMIL NADU,1918,4,9.9,,
TAMIL NADU,1918,5,81.8,,
TAMIL NADU,1918,6,36.2,,
TAMIL NADU,1918,7,40.8,,
TAMIL NADU,1918,8,58.6,,
TAMIL NADU,1918,9,47.0,,
TAMIL NADU,1918,10,81.8,,
TAMIL NADU,1918,11,315.1,,
TAMIL NADU,1918,12,88.4,,
TAMIL NADU,1919,1,22.9,,
TAMIL NADU,1919,2,0.8,,
TAMIL NADU,1919,3,16.2,,
TAMIL NADU,1919,4,25.0,,
TAMIL NADU,1919,5,88.5,,
TAMIL NADU,1919,6,49.9,,
TAMIL NADU,1919,7,87.8,,
TAMIL NADU,1919,8,51.6,,
TAMIL NADU,1919,9,162.7,,
TAMIL NADU,1919,10,152.4,,
TAMIL NADU,1919,11,264.4,,
TAMIL NADU,1919,12,106.4,,
TAMIL NADU,1920,1,135.9,,
TAMIL NADU,1920,2,3.1,,
TAMIL NADU,1920,3,3.7,,
TAMIL NADU,1920,4,67.3,,
TAMIL NADU,1920,5,59.6,,
TAMIL NADU,1920,6,47.3,,
TAMIL NADU,1920,7,37.3,,
TAMIL NADU,1920,8,74.8,,
TAMIL NADU,1920,9,156.3,,
TAMIL NADU,1920,10,159.4,,
TAMIL NADU,1920,11,404.9,,
TAMIL NADU,1920,12,4.7,,
TAMIL NADU,1921,1,141.2,,
TAMIL NADU,1921,2,0.0,,
TAMIL NADU,1921,3,1.7,,
TAMIL NADU,1921,4,72.3,,
TAMIL NADU,1921,5,39.5,,
TAMIL NADU,1921,6,55.7,,
TAMIL NADU,1921,7,92.5,,
TAMIL NADU,1921,8,129.6,,
TAMIL NADU,1921,9,78.3,,
TAMIL NADU,1921,10,236.4,,
TAMIL NADU,1921,11,76.0,,
