location_id,district,year,dispute_type,count,status
1,Ariyalur,2021,Boundary Dispute,14,Pending
1,Ariyalur,2021,Ownership/Title Dispute,15,Pending
1,Ariyalur,2021,Partition Suit,12,Disposed
1,Ariyalur,2021,Encroachment,17,Pending
1,Ariyalur,2021,Tenancy Dispute,14,Pending
1,Ariyalur,2021,Land Acquisition Compensation,11,Pending
1,Ariyalur,2022,Boundary Dispute,22,Pending
1,Ariyalur,2022,Ownership/Title Dispute,12,Pending
1,Ariyalur,2022,Partition Suit,21,Pending
1,Ariyalur,2022,Encroachment,15,Pending
1,Ariyalur,2022,Tenancy Dispute,17,Pending
1,Ariyalur,2022,Land Acquisition Compensation,11,Pending
1,Ariyalur,2023,Boundary Dispute,13,Pending
1,Ariyalur,2023,Ownership/Title Dispute,13,Disposed
1,Ariyalur,2023,Partition Suit,18,Pending
1,Ariyalur,2023,Encroachment,16,Pending
1,Ariyalur,2023,Tenancy Dispute,14,Disposed
1,Ariyalur,2023,Land Acquisition Compensation,17,Under Appeal
1,Ariyalur,2024,Boundary Dispute,14,Disposed
1,Ariyalur,2024,Ownership/Title Dispute,14,Pending
1,Ariyalur,2024,Partition Suit,11,Under Appeal
1,Ariyalur,2024,Encroachment,14,Pending
1,Ariyalur,2024,Tenancy Dispute,17,Disposed
1,Ariyalur,2024,Land Acquisition Compensation,14,Pending
2,Chennai,2021,Boundary Dispute,34,Pending
2,Chennai,2021,Ownership/Title Dispute,45,Pending
2,Chennai,2021,Partition Suit,61,Pending
2,Chennai,2021,Encroachment,30,Disposed
2,Chennai,2021,Tenancy Dispute,47,Pending
2,Chennai,2021,Land Acquisition Compensation,53,Disposed
2,Chennai,2022,Boundary Dispute,53,Disposed
2,Chennai,2022,Ownership/Title Dispute,41,Pending
2,Chennai,2022,Partition Suit,50,Pending
2,Chennai,2022,Encroachment,36,Pending
2,Chennai,2022,Tenancy Dispute,41,Pending
2,Chennai,2022,Land Acquisition Compensation,37,Pending
2,Chennai,2023,Boundary Dispute,44,Disposed
2,Chennai,2023,Ownership/Title Dispute,51,Pending
2,Chennai,2023,Partition Suit,44,Pending
2,Chennai,2023,Encroachment,55,Disposed
2,Chennai,2023,Tenancy Dispute,40,Pending
2,Chennai,2023,Land Acquisition Compensation,51,Pending
2,Chennai,2024,Boundary Dispute,37,Disposed
2,Chennai,2024,Ownership/Title Dispute,32,Disposed
2,Chennai,2024,Partition Suit,52,Pending
2,Chennai,2024,Encroachment,47,Disposed
2,Chennai,2024,Tenancy Dispute,52,Pending
2,Chennai,2024,Land Acquisition Compensation,44,Disposed
3,Coimbatore,2021,Boundary Dispute,34,Disposed
3,Coimbatore,2021,Ownership/Title Dispute,25,Pending
3,Coimbatore,2021,Partition Suit,36,Under Appeal
3,Coimbatore,2021,Encroachment,28,Pending
3,Coimbatore,2021,Tenancy Dispute,27,Pending
3,Coimbatore,2021,Land Acquisition Compensation,40,Disposed
3,Coimbatore,2022,Boundary Dispute,33,Pending
3,Coimbatore,2022,Ownership/Title Dispute,27,Pending
3,Coimbatore,2022,Partition Suit,42,Pending
3,Coimbatore,2022,Encroachment,32,Disposed
3,Coimbatore,2022,Tenancy Dispute,40,Disposed
3,Coimbatore,2022,Land Acquisition Compensation,36,Disposed
3,Coimbatore,2023,Boundary Dispute,34,Disposed
3,Coimbatore,2023,Ownership/Title Dispute,39,Pending
3,Coimbatore,2023,Partition Suit,22,Disposed
3,Coimbatore,2023,Encroachment,36,Disposed
3,Coimbatore,2023,Tenancy Dispute,26,Disposed
3,Coimbatore,2023,Land Acquisition Compensation,34,Pending
3,Coimbatore,2024,Boundary Dispute,43,Disposed
3,Coimbatore,2024,Ownership/Title Dispute,35,Under Appeal
3,Coimbatore,2024,Partition Suit,29,Pending
3,Coimbatore,2024,Encroachment,42,Disposed
3,Coimbatore,2024,Tenancy Dispute,36,Pending
3,Coimbatore,2024,Land Acquisition Compensation,31,Disposed
4,Cuddalore,2021,Boundary Dispute,11,Disposed
4,Cuddalore,2021,Ownership/Title Dispute,15,Under Appeal
4,Cuddalore,2021,Partition Suit,18,Disposed
4,Cuddalore,2021,Encroachment,11,Pending
4,Cuddalore,2021,Tenancy Dispute,13,Pending
4,Cuddalore,2021,Land Acquisition Compensation,9,Disposed
4,Cuddalore,2022,Boundary Dispute,12,Pending
4,Cuddalore,2022,Ownership/Title Dispute,12,Pending
4,Cuddalore,2022,Partition Suit,22,Pending
4,Cuddalore,2022,Encroachment,17,Pending
4,Cuddalore,2022,Tenancy Dispute,18,Pending
4,Cuddalore,2022,Land Acquisition Compensation,16,Disposed
4,Cuddalore,2023,Boundary Dispute,17,Pending
4,Cuddalore,2023,Ownership/Title Dispute,17,Pending
4,Cuddalore,2023,Partition Suit,14,Pending
4,Cuddalore,2023,Encroachment,19,Disposed
4,Cuddalore,2023,Tenancy Dispute,18,Pending
4,Cuddalore,2023,Land Acquisition Compensation,13,Pending
4,Cuddalore,2024,Boundary Dispute,16,Pending
4,Cuddalore,2024,Ownership/Title Dispute,21,Disposed
4,Cuddalore,2024,Partition Suit,14,Disposed
4,Cuddalore,2024,Encroachment,17,Disposed
4,Cuddalore,2024,Tenancy Dispute,16,Pending
4,Cuddalore,2024,Land Acquisition Compensation,19,Pending
5,Dharmapuri,2021,Boundary Dispute,19,Pending
5,Dharmapuri,2021,Ownership/Title Dispute,12,Disposed
5,Dharmapuri,2021,Partition Suit,16,Under Appeal
5,Dharmapuri,2021,Encroachment,20,Pending
5,Dharmapuri,2021,Tenancy Dispute,9,Pending
5,Dharmapuri,2021,Land Acquisition Compensation,13,Pending
5,Dharmapuri,2022,Boundary Dispute,15,Pending
5,Dharmapuri,2022,Ownership/Title Dispute,21,Pending
5,Dharmapuri,2022,Partition Suit,16,Disposed
5,Dharmapuri,2022,Encroachment,16,Pending
5,Dharmapuri,2022,Tenancy Dispute,13,Pending
5,Dharmapuri,2022,Land Acquisition Compensation,20,Pending
5,Dharmapuri,2023,Boundary Dispute,13,Pending
5,Dharmapuri,2023,Ownership/Title Dispute,14,Disposed
5,Dharmapuri,2023,Partition Suit,15,Under Appeal
5,Dharmapuri,2023,Encroachment,22,Disposed
5,Dharmapuri,2023,Tenancy Dispute,18,Pending
5,Dharmapuri,2023,Land Acquisition Compensation,9,Disposed
5,Dharmapuri,2024,Boundary Dispute,10,Disposed
5,Dharmapuri,2024,Ownership/Title Dispute,7,Pending
5,Dharmapuri,2024,Partition Suit,23,Disposed
5,Dharmapuri,2024,Encroachment,15,Disposed
5,Dharmapuri,2024,Tenancy Dispute,11,Disposed
5,Dharmapuri,2024,Land Acquisition Compensation,23,Disposed
6,Dindigul,2021,Boundary Dispute,15,Pending
6,Dindigul,2021,Ownership/Title Dispute,19,Pending
6,Dindigul,2021,Partition Suit,14,Pending
6,Dindigul,2021,Encroachment,18,Disposed
6,Dindigul,2021,Tenancy Dispute,12,Pending
6,Dindigul,2021,Land Acquisition Compensation,15,Pending
6,Dindigul,2022,Boundary Dispute,12,Pending
6,Dindigul,2022,Ownership/Title Dispute,13,Pending
6,Dindigul,2022,Partition Suit,11,Pending
6,Dindigul,2022,Encroachment,9,Pending
6,Dindigul,2022,Tenancy Dispute,22,Pending
6,Dindigul,2022,Land Acquisition Compensation,21,Pending
6,Dindigul,2023,Boundary Dispute,11,Pending
6,Dindigul,2023,Ownership/Title Dispute,24,Pending
6,Dindigul,2023,Partition Suit,17,Pending
6,Dindigul,2023,Encroachment,21,Disposed
6,Dindigul,2023,Tenancy Dispute,15,Disposed
6,Dindigul,2023,Land Acquisition Compensation,18,Pending
6,Dindigul,2024,Boundary Dispute,15,Pending
6,Dindigul,2024,Ownership/Title Dispute,18,Pending
6,Dindigul,2024,Partition Suit,19,Pending
6,Dindigul,2024,Encroachment,19,Pending
6,Dindigul,2024,Tenancy Dispute,19,Disposed
6,Dindigul,2024,Land Acquisition Compensation,25,Under Appeal
7,Erode,2021,Boundary Dispute,12,Pending
7,Erode,2021,Ownership/Title Dispute,15,Pending
7,Erode,2021,Partition Suit,13,Pending
7,Erode,2021,Encroachment,12,Pending
7,Erode,2021,Tenancy Dispute,15,Pending
7,Erode,2021,Land Acquisition Compensation,14,Pending
7,Erode,2022,Boundary Dispute,11,Disposed
7,Erode,2022,Ownership/Title Dispute,17,Pending
7,Erode,2022,Partition Suit,13,Pending
7,Erode,2022,Encroachment,19,Under Appeal
7,Erode,2022,Tenancy Dispute,15,Pending
7,Erode,2022,Land Acquisition Compensation,14,Pending
7,Erode,2023,Boundary Dispute,15,Pending
7,Erode,2023,Ownership/Title Dispute,14,Pending
7,Erode,2023,Partition Suit,19,Pending
7,Erode,2023,Encroachment,13,Under Appeal
7,Erode,2023,Tenancy Dispute,11,Disposed
7,Erode,2023,Land Acquisition Compensation,16,Disposed
7,Erode,2024,Boundary Dispute,12,Pending
7,Erode,2024,Ownership/Title Dispute,15,Pending
7,Erode,2024,Partition Suit,17,Pending
7,Erode,2024,Encroachment,12,Disposed
7,Erode,2024,Tenancy Dispute,16,Pending
7,Erode,2024,Land Acquisition Compensation,13,Disposed
8,Kancheepuram,2021,Boundary Dispute,19,Pending
8,Kancheepuram,2021,Ownership/Title Dispute,12,Pending
8,Kancheepuram,2021,Partition Suit,11,Disposed
8,Kancheepuram,2021,Encroachment,11,Under Appeal
8,Kancheepuram,2021,Tenancy Dispute,22,Disposed
8,Kancheepuram,2021,Land Acquisition Compensation,9,Disposed
8,Kancheepuram,2022,Boundary Dispute,14,Disposed
8,Kancheepuram,2022,Ownership/Title Dispute,14,Disposed
8,Kancheepuram,2022,Partition Suit,13,Pending
8,Kancheepuram,2022,Encroachment,20,Pending
8,Kancheepuram,2022,Tenancy Dispute,14,Pending
8,Kancheepuram,2022,Land Acquisition Compensation,15,Pending
8,Kancheepuram,2023,Boundary Dispute,13,Pending
8,Kancheepuram,2023,Ownership/Title Dispute,19,Pending
8,Kancheepuram,2023,Partition Suit,15,Pending
8,Kancheepuram,2023,Encroachment,9,Disposed
8,Kancheepuram,2023,Tenancy Dispute,8,Under Appeal
8,Kancheepuram,2023,Land Acquisition Compensation,19,Pending
8,Kancheepuram,2024,Boundary Dispute,17,Under Appeal
8,Kancheepuram,2024,Ownership/Title Dispute,10,Under Appeal
8,Kancheepuram,2024,Partition Suit,9,Under Appeal
8,Kancheepuram,2024,Encroachment,11,Pending
8,Kancheepuram,2024,Tenancy Dispute,13,Pending
8,Kancheepuram,2024,Land Acquisition Compensation,12,Pending
9,Kanniyakumari,2021,Boundary Dispute,18,Pending
9,Kanniyakumari,2021,Ownership/Title Dispute,19,Pending
9,Kanniyakumari,2021,Partition Suit,10,Disposed
9,Kanniyakumari,2021,Encroachment,16,Under Appeal
9,Kanniyakumari,2021,Tenancy Dispute,25,Disposed
9,Kanniyakumari,2021,Land Acquisition Compensation,15,Pending
9,Kanniyakumari,2022,Boundary Dispute,10,Disposed
9,Kanniyakumari,2022,Ownership/Title Dispute,15,Disposed
9,Kanniyakumari,2022,Partition Suit,21,Pending
9,Kanniyakumari,2022,Encroachment,22,Disposed
9,Kanniyakumari,2022,Tenancy Dispute,13,Under Appeal
9,Kanniyakumari,2022,Land Acquisition Compensation,16,Disposed
9,Kanniyakumari,2023,Boundary Dispute,16,Disposed
