district,time_period,agriculture_pct,built_up_pct,forest_pct,waterbody_pct,wasteland_pct,plantation_pct,grassland_pct,marshy_swamp_pct,total_area_sqkm,data_source,notes
Ariyalur,2005-06,58.94,6.43,8.52,3.41,8.05,9.27,4.66,0.73,5930.18,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ariyalur, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Ariyalur,2011-12,57.94,7.91,8.02,3.4,7.85,9.55,4.65,0.67,1812.87,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ariyalur, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Ariyalur,2015-16,57.27,8.9,7.69,3.4,7.73,9.74,4.65,0.63,3795.7,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Ariyalur, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Chengalpattu,2005-06,59.91,5.86,9.1,6.41,6.91,5.42,3.65,2.74,1568.24,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Chengalpattu, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Chengalpattu,2011-12,58.9,7.34,8.61,6.4,6.72,5.71,3.64,2.68,9961.1,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Chengalpattu, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Chengalpattu,2015-16,58.23,8.33,8.28,6.39,6.59,5.9,3.64,2.64,8830.46,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Chengalpattu, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Chennai,2005-06,55.41,15.49,10.88,4.3,2.93,4.14,4.7,2.15,9974.85,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Chennai, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Chennai,2011-12,54.41,16.96,10.39,4.29,2.75,4.43,4.69,2.09,9162.18,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Chennai, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Chennai,2015-16,53.75,17.94,10.05,4.29,2.62,4.63,4.68,2.04,7130.39,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Chennai, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
Coimbatore,2005-06,54.8,8.18,11.31,5.93,5.91,9.14,2.81,1.92,1981.16,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Coimbatore, 2005-06. Replace with Bhuvan 1:50K LULC raster analysis."
Coimbatore,2011-12,53.8,9.66,10.81,5.92,5.72,9.43,2.81,1.86,3892.93,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Coimbatore, 2011-12. Replace with Bhuvan 1:50K LULC raster analysis."
Coimbatore,2015-16,53.14,10.65,10.47,5.91,5.59,9.61,2.8,1.82,4538.57,SYNTHETIC_PLACEHOLDER,"Demo LULC summary for Coimbatore, 2015-16. Replace with Bhuvan 1:50K LULC raster analysis."
