district,year,total_land_disputes,boundary_disputes,inheritance_disputes,tenancy_disputes,encroachment_disputes,title_disputes,other_disputes,resolved_cases,pending_cases,avg_resolution_months,data_source,notes
Ariyalur,2019,115,32,25,17,16,6,19,49,66,19.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ariyalur, 2019. Replace with real NJDG + State Revenue Dept integration."
Ariyalur,2020,121,40,26,18,13,9,15,49,72,54.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ariyalur, 2020. Replace with real NJDG + State Revenue Dept integration."
Ariyalur,2021,214,64,35,37,22,12,44,79,135,53.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ariyalur, 2021. Replace with real NJDG + State Revenue Dept integration."
Ariyalur,2022,231,76,57,30,27,24,17,109,122,54.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ariyalur, 2022. Replace with real NJDG + State Revenue Dept integration."
Ariyalur,2023,203,70,46,36,28,22,1,86,117,37.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ariyalur, 2023. Replace with real NJDG + State Revenue Dept integration."
Ariyalur,2024,214,60,37,37,26,19,35,82,132,48.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Ariyalur, 2024. Replace with real NJDG + State Revenue Dept integration."
Chengalpattu,2019,699,246,120,88,93,37,115,359,340,51.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chengalpattu, 2019. Replace with real NJDG + State Revenue Dept integration."
Chengalpattu,2020,795,303,144,121,85,90,52,351,444,29.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chengalpattu, 2020. Replace with real NJDG + State Revenue Dept integration."
Chengalpattu,2021,804,252,167,103,120,47,115,360,444,49.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chengalpattu, 2021. Replace with real NJDG + State Revenue Dept integration."
Chengalpattu,2022,1109,376,209,163,125,74,162,510,599,57.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chengalpattu, 2022. Replace with real NJDG + State Revenue Dept integration."
Chengalpattu,2023,1017,371,187,125,92,51,191,502,515,48.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chengalpattu, 2023. Replace with real NJDG + State Revenue Dept integration."
Chengalpattu,2024,1456,554,261,220,178,88,155,731,725,40.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chengalpattu, 2024. Replace with real NJDG + State Revenue Dept integration."
Chennai,2019,4784,1546,771,617,712,509,629,1903,2881,28.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chennai, 2019. Replace with real NJDG + State Revenue Dept integration."
Chennai,2020,3520,1396,715,387,444,409,169,1348,2172,40.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chennai, 2020. Replace with real NJDG + State Revenue Dept integration."
Chennai,2021,4854,1732,921,746,515,548,392,2137,2717,28.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chennai, 2021. Replace with real NJDG + State Revenue Dept integration."
Chennai,2022,2168,613,340,326,208,245,436,1131,1037,21.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chennai, 2022. Replace with real NJDG + State Revenue Dept integration."
Chennai,2023,3214,1152,765,469,311,267,250,1386,1828,22.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chennai, 2023. Replace with real NJDG + State Revenue Dept integration."
Chennai,2024,4160,1460,1033,448,450,306,463,2172,1988,28.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Chennai, 2024. Replace with real NJDG + State Revenue Dept integration."
Coimbatore,2019,999,319,237,105,136,109,93,369,630,45.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Coimbatore, 2019. Replace with real NJDG + State Revenue Dept integration."
Coimbatore,2020,1171,321,232,137,126,63,292,498,673,59.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Coimbatore, 2020. Replace with real NJDG + State Revenue Dept integration."
Coimbatore,2021,1216,431,271,197,153,102,62,471,745,27.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Coimbatore, 2021. Replace with real NJDG + State Revenue Dept integration."
Coimbatore,2022,930,240,193,130,129,56,182,504,426,21.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Coimbatore, 2022. Replace with real NJDG + State Revenue Dept integration."
Coimbatore,2023,1075,333,262,156,129,56,139,393,682,45.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Coimbatore, 2023. Replace with real NJDG + State Revenue Dept integration."
Coimbatore,2024,1342,383,254,206,135,96,268,671,671,21.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Coimbatore, 2024. Replace with real NJDG + State Revenue Dept integration."
Cuddalore,2019,614,160,105,74,89,68,118,322,292,33.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Cuddalore, 2019. Replace with real NJDG + State Revenue Dept integration."
Cuddalore,2020,482,164,119,73,38,51,37,197,285,45.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Cuddalore, 2020. Replace with real NJDG + State Revenue Dept integration."
Cuddalore,2021,860,329,192,96,85,55,103,359,501,46.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Cuddalore, 2021. Replace with real NJDG + State Revenue Dept integration."
Cuddalore,2022,844,325,198,90,92,58,81,295,549,50.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Cuddalore, 2022. Replace with real NJDG + State Revenue Dept integration."
Cuddalore,2023,729,242,140,73,62,81,131,386,343,40.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Cuddalore, 2023. Replace with real NJDG + State Revenue Dept integration."
Cuddalore,2024,845,265,130,109,122,99,120,302,543,33.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Cuddalore, 2024. Replace with real NJDG + State Revenue Dept integration."
Dharmapuri,2019,431,158,102,57,53,26,35,231,200,54.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dharmapuri, 2019. Replace with real NJDG + State Revenue Dept integration."
Dharmapuri,2020,534,135,119,67,77,56,80,279,255,52.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dharmapuri, 2020. Replace with real NJDG + State Revenue Dept integration."
Dharmapuri,2021,312,95,48,42,29,35,63,131,181,52.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dharmapuri, 2021. Replace with real NJDG + State Revenue Dept integration."
Dharmapuri,2022,476,147,84,50,63,35,97,215,261,46.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dharmapuri, 2022. Replace with real NJDG + State Revenue Dept integration."
Dharmapuri,2023,465,124,114,53,68,31,75,172,293,36.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dharmapuri, 2023. Replace with real NJDG + State Revenue Dept integration."
Dharmapuri,2024,467,185,75,80,43,24,60,204,263,39.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dharmapuri, 2024. Replace with real NJDG + State Revenue Dept integration."
Dindigul,2019,645,196,101,98,66,46,138,335,310,48.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dindigul, 2019. Replace with real NJDG + State Revenue Dept integration."
Dindigul,2020,448,133,98,64,41,43,69,190,258,49.4,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dindigul, 2020. Replace with real NJDG + State Revenue Dept integration."
Dindigul,2021,405,134,60,49,44,36,82,194,211,37.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dindigul, 2021. Replace with real NJDG + State Revenue Dept integration."
Dindigul,2022,507,187,124,80,63,35,18,244,263,44.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dindigul, 2022. Replace with real NJDG + State Revenue Dept integration."
Dindigul,2023,405,142,69,46,33,27,88,180,225,53.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dindigul, 2023. Replace with real NJDG + State Revenue Dept integration."
Dindigul,2024,381,128,84,49,41,22,57,185,196,55.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Dindigul, 2024. Replace with real NJDG + State Revenue Dept integration."
Erode,2019,715,202,164,111,80,63,95,381,334,23.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Erode, 2019. Replace with real NJDG + State Revenue Dept integration."
Erode,2020,405,161,84,71,57,37,0,200,205,39.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Erode, 2020. Replace with real NJDG + State Revenue Dept integration."
Erode,2021,696,251,137,84,67,65,92,350,346,39.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Erode, 2021. Replace with real NJDG + State Revenue Dept integration."
Erode,2022,590,210,102,74,84,32,88,224,366,34.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Erode, 2022. Replace with real NJDG + State Revenue Dept integration."
Erode,2023,400,124,81,53,37,31,74,212,188,42.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Erode, 2023. Replace with real NJDG + State Revenue Dept integration."
Erode,2024,712,218,107,91,94,78,124,384,328,35.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Erode, 2024. Replace with real NJDG + State Revenue Dept integration."
Kallakurichi,2019,437,168,86,53,49,33,48,211,226,51.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kallakurichi, 2019. Replace with real NJDG + State Revenue Dept integration."
Kallakurichi,2020,411,163,83,70,49,39,7,150,261,36.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kallakurichi, 2020. Replace with real NJDG + State Revenue Dept integration."
Kallakurichi,2021,445,136,76,56,59,34,84,222,223,52.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kallakurichi, 2021. Replace with real NJDG + State Revenue Dept integration."
Kallakurichi,2022,250,90,38,44,23,13,42,135,115,19.7,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kallakurichi, 2022. Replace with real NJDG + State Revenue Dept integration."
Kallakurichi,2023,198,67,34,27,17,23,30,87,111,28.8,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kallakurichi, 2023. Replace with real NJDG + State Revenue Dept integration."
Kallakurichi,2024,335,122,55,41,40,38,39,155,180,56.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kallakurichi, 2024. Replace with real NJDG + State Revenue Dept integration."
Kanchipuram,2019,622,162,136,93,54,64,113,323,299,43.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanchipuram, 2019. Replace with real NJDG + State Revenue Dept integration."
Kanchipuram,2020,483,145,93,62,55,35,93,251,232,52.5,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanchipuram, 2020. Replace with real NJDG + State Revenue Dept integration."
Kanchipuram,2021,527,202,103,59,48,45,70,253,274,43.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanchipuram, 2021. Replace with real NJDG + State Revenue Dept integration."
Kanchipuram,2022,974,307,217,118,135,105,92,357,617,55.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanchipuram, 2022. Replace with real NJDG + State Revenue Dept integration."
Kanchipuram,2023,592,207,108,82,60,49,86,249,343,28.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanchipuram, 2023. Replace with real NJDG + State Revenue Dept integration."
Kanchipuram,2024,607,202,122,69,58,47,109,279,328,28.1,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanchipuram, 2024. Replace with real NJDG + State Revenue Dept integration."
Kanyakumari,2019,449,165,71,52,57,32,72,209,240,37.9,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanyakumari, 2019. Replace with real NJDG + State Revenue Dept integration."
Kanyakumari,2020,479,143,105,58,46,27,100,186,293,23.0,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanyakumari, 2020. Replace with real NJDG + State Revenue Dept integration."
Kanyakumari,2021,473,131,105,57,57,48,75,222,251,59.2,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanyakumari, 2021. Replace with real NJDG + State Revenue Dept integration."
Kanyakumari,2022,574,158,86,81,56,67,126,264,310,47.3,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanyakumari, 2022. Replace with real NJDG + State Revenue Dept integration."
Kanyakumari,2023,375,99,56,46,42,27,105,203,172,28.6,SYNTHETIC_PLACEHOLDER,"Demo dispute stats for Kanyakumari, 2023. Replace with real NJDG + State Revenue Dept integration."
