district,year,month,date,ndvi,ndwi,ndbi,sensor,cloud_cover_pct,data_source,notes
Ariyalur,2005,1,2005-01-15,0.43,-0.207,-0.127,Landsat-5 TM,10.2,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-01. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,2,2005-02-15,0.487,-0.105,-0.234,Landsat-7 ETM+,3.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-02. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,3,2005-03-15,0.277,0.101,0.136,Sentinel-2A MSI,3.3,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-03. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,4,2005-04-15,0.299,-0.395,0.193,Sentinel-2A MSI,5.1,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-04. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,5,2005-05-15,0.227,-0.164,-0.199,Landsat-5 TM,5.4,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-05. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,6,2005-06-15,0.53,-0.17,0.003,Landsat-5 TM,14.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-06. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,7,2005-07-15,0.569,0.381,0.09,Landsat-8 OLI,8.7,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-07. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,8,2005-08-15,0.616,-0.04,-0.091,Landsat-5 TM,12.8,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-08. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,9,2005-09-15,0.698,0.117,0.209,Landsat-7 ETM+,5.6,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-09. Replace with real Sentinel-2/Landsat analysis."
Ariyalur,2005,10,2005-10-15,0.49,0.456,0.106,Sentinel-2B MSI,9.5,SYNTHETIC_PLACEHOLDER,"Demo spectral indices for Ariyalur, 2005-10. Replace with real Sentinel-2/Landsat analysis."
